,CHỈ TIÊU,2013,2014,2015,2016,2017
0,Doanh số,18092284412.0,30775621251.0,5026915956.0,13634798379.0,7499354298.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,18092284412.0,30775621251.0,5026915956.0,13634798379.0,7499354298.0
3,Giá vốn hàng bán,-14924576366.0,-25343116965.0,-8563369094.0,-17387599111.0,-6783162421.0
4,Lãi gộp,3167708046.0,5432504286.0,-3536453138.0,-3752800732.0,716191877.0
5,Thu nhập tài chính,5032711.0,12328831.0,9176922.0,24159309.0,2706491.0
6,Chi phí tài chính,-267319427.0,-452959445.0,-695999758.0,-525339214.0,-545500720.0
7,Trong đó: Chi phí lãi vay,-267319427.0,-370142013.0,-609596416.0,-525339214.0,-545500720.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,0.0,0.0,0.0,0.0,0.0
10,Chi phí quản lý doanh  nghiệp,-2602165053.0,-3109773960.0,-3377489978.0,-2665326630.0,-1817783559.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,303256277.0,1882099712.0,-7600765952.0,-6919307267.0,-1644385911.0
12,Thu nhập khác,0.0,76109090.0,1100000000.0,0.0,0.0
13,Chi phí khác,0.0,-1224067173.0,-560000.0,-205498155.0,-180327596.0
14,"Thu nhập khác, ròng",0.0,-1147958083.0,1099440000.0,-205498155.0,-180327596.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,303256277.0,734141629.0,-6501325952.0,-7124805422.0,-1824713507.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,-530781689.0,0.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0,-530781689.0,0.0,0.0,0.0
20,Lãi/(lỗ) thuần sau thuế,303256277.0,203359940.0,-6501325952.0,-7124805422.0,-1824713507.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,303256277.0,203359940.0,-6501325952.0,-7124805422.0,-1824713507.0
23,Lãi cơ bản trên cổ phiếu,121.0,81.0,-2601.0,-2850.0,-730.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0
