,CHỈ TIÊU,2013,2014,2015,2016,2017
0,TỔNG TÀI SẢN,63283431162.0,61973290960.0,57365904537.0,47569795176.0,42460280563.0
1,TÀI SẢN NGẮN HẠN,61001272501.0,60760973685.0,56473314703.0,46950431999.0,42270927475.0
2,Tiền và tương đương tiền,218967965.0,161777993.0,1454815715.0,173406280.0,275258117.0
3,Tiền,218967965.0,161777993.0,1454815715.0,173406280.0,275258117.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,450000000.0,0.0,42000000.0,0.0
6,Đầu tư ngắn hạn,0.0,450000000.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,42000000.0,0.0
9,Các khoản phải thu,19814221624.0,28542345991.0,31907711306.0,32546474101.0,33459022890.0
10,Phải thu khách hàng,11837507174.0,13208240527.0,12245701235.0,10336633685.0,10734321917.0
11,Trả trước người bán,2921218556.0,2803236366.0,3099016344.0,3194746864.0,3334246864.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,5055495894.0,12530869098.0,16562993727.0,19015093552.0,19390454109.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0,0.0,0.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",29742577298.0,28117744180.0,23006735265.0,13680701089.0,8028380340.0
19,Hàng tồn kho,29742577298.0,28117744180.0,23006735265.0,13680701089.0,8028380340.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,11225505614.0,3489105521.0,104052417.0,507850529.0,508266128.0
22,Trả trước ngắn hạn,29166201.0,17526066.0,0.0,0.0,0.0
23,Thuế VAT phải thu,0.0,0.0,104052417.0,507850529.0,508266128.0
24,Phải thu thuế khác,0.0,0.0,0.0,0.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,11196339413.0,3471579455.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,2282158661.0,1212317275.0,892589834.0,619363177.0,189353088.0
28,Phải thu dài hạn,0.0,0.0,43469000.0,41469000.0,41469000.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,43469000.0,41469000.0,41469000.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,749982453.0,0.0,0.0,0.0,0.0
37,GTCL TSCĐ hữu hình,106697265.0,0.0,0.0,0.0,0.0
38,Nguyên giá TSCĐ hữu hình,2173702125.0,2173702125.0,803547091.0,0.0,803547091.0
39,Khấu hao lũy kế TSCĐ hữu hình,-2067004860.0,-2173702125.0,-803547091.0,0.0,-803547091.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0
