,CHỈ TIÊU,2013,2014,2015,2016,2017,2018
0,TỔNG TÀI SẢN,28353152571.0,152362889811.0,264533236355.0,386045532539.0,387783433780.0,316782661046.0
1,TÀI SẢN NGẮN HẠN,25527510273.0,53918432593.0,102712982230.0,132398079312.0,147689282458.0,98455531847.0
2,Tiền và tương đương tiền,1121909.0,5195883677.0,14664266409.0,5091870508.0,5152193951.0,1152980149.0
3,Tiền,1121909.0,5195883677.0,14664266409.0,5091870508.0,5152193951.0,1152980149.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,25000000000.0,38196970144.0,59851075963.0,87138225108.0,96526479415.0,94070175296.0
10,Phải thu khách hàng,0.0,26643022543.0,35774491715.0,55714218002.0,56324072991.0,89283965820.0
11,Trả trước người bán,25000000000.0,11553947601.0,8386077500.0,12270722100.0,2372009783.0,1478599123.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,4700000000.0,2652611000.0
15,Phải thu khác,0.0,0.0,15690506748.0,19153285006.0,33130396641.0,27625711556.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0,0.0,0.0,-26970712203.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",7527273.0,4701752253.0,22057632350.0,32861682319.0,39473130784.0,0.0
19,Hàng tồn kho,7527273.0,4701752253.0,22057632350.0,32861682319.0,40553153582.0,0.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,-1080022798.0,0.0
21,Tài sản lưu động khác,518861091.0,5823826519.0,6140007508.0,7306301377.0,6537478308.0,3232376402.0
22,Trả trước ngắn hạn,0.0,23997600.0,115530657.0,14162336.0,5438926.0,0.0
23,Thuế VAT phải thu,281861091.0,0.0,6024476851.0,0.0,6532039382.0,3028038935.0
24,Phải thu thuế khác,0.0,0.0,0.0,7292139041.0,0.0,204337467.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,237000000.0,5799828919.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,2825642298.0,98444457218.0,161820254125.0,253647453227.0,240094151322.0,218327129199.0
28,Phải thu dài hạn,0.0,0.0,0.0,3962752530.0,994502530.0,16426502530.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0,3962752530.0,994502530.0,16426502530.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,2790909091.0,53316618705.0,70474706451.0,71341021878.0,64522199224.0,61218970240.0
37,GTCL TSCĐ hữu hình,2790909091.0,53316618705.0,70474706451.0,71341021878.0,64522199224.0,61218970240.0
38,Nguyên giá TSCĐ hữu hình,2790909091.0,54518523636.0,73967212727.0,78517030910.0,73412070910.0,73412070910.0
39,Khấu hao lũy kế TSCĐ hữu hình,0.0,-1201904931.0,-3492506276.0,-7176009032.0,-8889871686.0,-12193100670.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,0.0,0.0,0.0,0.0,0.0,0.0
44,Nguyên giá TSCĐ vô hình,0.0,0.0,0.0,0.0,0.0,0.0
45,Khấu hao lũy kế TSCĐ vô hình,0.0,0.0,0.0,0.0,0.0,0.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0,0.0,0.0
51,Xây dựng cơ bản dở dang,0.0,0.0,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,0.0,45000000000.0,91000000000.0,178000000000.0,174000000000.0,140327500000.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,0.0,30000000000.0,83000000000.0,124000000000.0,124000000000.0,124000000000.0
55,Đầu tư dài hạn khác,0.0,15000000000.0,8000000000.0,54000000000.0,50000000000.0,50000000000.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0,-33672500000.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0
58,Tài sản dài hạn khác,34733207.0,127838513.0,345547674.0,343678819.0,577449568.0,354156429.0
59,Trả trước dài hạn,34733207.0,127838513.0,345547674.0,343678819.0,577449568.0,354156429.0
60,Thuế thu nhập hoãn lại phải thu,0.0,0.0,0.0,0.0,0.0,0.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0,0.0,0.0,0.0
62,Các tài sản dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0
63,Lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,3784000000.0,21842508248.0,75565353110.0,101956786621.0,108893044340.0,113123677897.0
65,Nợ ngắn hạn,3784000000.0,21842508248.0,72533353110.0,85809861431.0,95195900065.0,108957376367.0
66,Phải trả người bán,3070000000.0,14535596524.0,24452835491.0,13905498459.0,14601734655.0,14634600217.0
67,Người mua trả tiền trước,0.0,0.0,1466152290.0,2567372900.0,5167970472.0,7575502965.0
68,Thuế và các khoản phải trả Nhà nước,0.0,1739964755.0,2695345163.0,1564086611.0,177518290.0,15024228.0
69,Phải trả người lao động,0.0,0.0,0.0,0.0,0.0,60195322.0
70,Chi phí phải trả,0.0,0.0,80000000.0,646541220.0,2529928943.0,1894342371.0
71,Phải trả nội bộ,0.0,0.0,0.0,0.0,0.0,0.0
72,Phải trả về xây dựng cơ bản,0.0,0.0,0.0,0.0,0.0,0.0
73,Doanh thu chưa thực hiện ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0
74,Phải trả khác,0.0,66946969.0,33376126.0,148412236.0,7456462235.0,16031202277.0
75,Vay ngắn hạn,714000000.0,5500000000.0,43555676000.0,66646482028.0,64986886855.0,68501831653.0
76,Dự phòng các khoản phải trả ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0
77,"Quỹ khen thưởng, phúc lợi",0.0,0.0,249968040.0,331467977.0,275398615.0,244677334.0
78,Quỹ bình ổn giá,0.0,0.0,0.0,0.0,0.0,0.0
79,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0
80,Nợ dài hạn,0.0,0.0,3032000000.0,16146925190.0,13697144275.0,4166301530.0
81,Phải trả nhà cung cấp dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
82,Người mua trả tiền trước dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
83,Chi phí phải trả dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
84,Phải trả nội bộ về vốn kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0
85,Phải trả nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
86,Doanh thu chưa thực hiên,0.0,0.0,0.0,0.0,0.0,0.0
87,Phải trả dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0
88,Vay dài hạn,0.0,0.0,3032000000.0,16146925190.0,13697144275.0,4166301530.0
89,Trái phiếu chuyển đổi,0.0,0.0,0.0,0.0,0.0,0.0
91,Thuế thu nhập hoãn lại phải trả,0.0,0.0,0.0,0.0,0.0,0.0
92,Dự phòng trợ cấp thôi việc,0.0,0.0,0.0,0.0,0.0,0.0
93,Dự phòng các khoản công nợ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
94,Quỹ phát triển khoa học công nghệ,0.0,0.0,0.0,0.0,0.0,0.0
95,VỐN CHỦ SỞ HỮU,24569152571.0,130520381563.0,188967883245.0,284088745918.0,278890389440.0,203658983149.0
96,Vốn và các quỹ,24569152571.0,130520381563.0,188967883245.0,284088745918.0,278890389440.0,203658983149.0
97,Vốn góp,25000000000.0,125000000000.0,174554000000.0,275764900000.0,275764900000.0,275764900000.0
98,Cổ phiếu phổ thông,25000000000.0,125000000000.0,174554000000.0,275764900000.0,275764900000.0,275764900000.0
99,Cổ phiếu ưu đãi,0.0,0.0,0.0,0.0,0.0,0.0
100,Thặng dư vốn cổ phần,0.0,0.0,0.0,-26000000.0,-226000000.0,-226000000.0
101,Quyền chọn chuyển đổi trái phiếu,0.0,0.0,0.0,0.0,0.0,0.0
102,Vốn khác,0.0,0.0,0.0,0.0,0.0,0.0
103,Cổ phiếu Quỹ,0.0,0.0,0.0,0.0,0.0,0.0
104,Chênh lệch đánh giá lại tài sản,0.0,0.0,0.0,0.0,0.0,0.0
105,Chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0,0.0
106,Quỹ đầu tư và phát triển,0.0,0.0,878724121.0,1806671911.0,2409974228.0,2444231666.0
107,Quỹ hỗ trợ sắp xếp doanh nghiệp,0.0,0.0,0.0,0.0,0.0,0.0
108,Quỹ dự phòng tài chính,0.0,0.0,0.0,0.0,0.0,0.0
109,Quỹ khác,0.0,0.0,0.0,0.0,0.0,0.0
110,Lãi chưa phân phối,-430847429.0,5520381563.0,13535159124.0,6543174007.0,941515212.0,-74324148517.0
111,LNST chưa phân phối lũy kế đến cuối kỳ trước,0.0,0.0,4255681220.0,510150829.0,709631360.0,-968315641.0
112,LNST chưa phân phối kỳ này,-430847429.0,5520381563.0,9279477904.0,6033023178.0,231883852.0,-73355832876.0
113,Lợi ích cổ đông không kiểm soát,0.0,0.0,0.0,0.0,0.0,0.0
114,Vốn Ngân sách nhà nước và quỹ khác,0.0,0.0,0.0,0.0,0.0,0.0
115,"Quỹ khen thưởng, phúc lợi (trước 2010)",0.0,0.0,0.0,0.0,0.0,0.0
116,Vốn ngân sách nhà nước,0.0,0.0,0.0,0.0,0.0,0.0
117,Nguồn kinh phí đã hình thành TSCĐ,0.0,0.0,0.0,0.0,0.0,0.0
118,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0
119,TỔNG CỘNG NGUỒN VỐN,28353152571.0,152362889811.0,264533236355.0,386045532539.0,387783433780.0,316782661046.0
