,CHỈ TIÊU,2013,2014,2015,2016,2017,2018
0,Doanh số,0.0,69138551998.0,90677506797.0,181522036690.0,142773456510.0,57965241629.0
1,Các khoản giảm trừ,0.0,0.0,-81136364.0,0.0,0.0,0.0
2,Doanh số thuần,0.0,69138551998.0,90596370433.0,181522036690.0,142773456510.0,57965241629.0
3,Giá vốn hàng bán,0.0,-59738904431.0,-80099838196.0,-165472751385.0,-127108283313.0,-62075778379.0
4,Lãi gộp,0.0,9399647567.0,10496532237.0,16049285305.0,15665173197.0,-4110536750.0
5,Thu nhập tài chính,0.0,1015643.0,5825750495.0,2815035038.0,3424586.0,473372067.0
6,Chi phí tài chính,0.0,-387786759.0,-1512614657.0,-5976734005.0,-8846818752.0,-43840512509.0
7,Trong đó: Chi phí lãi vay,0.0,-387786759.0,-1397761208.0,-5767156993.0,-8819392679.0,-10162999587.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,0.0,-21450000.0,-783634477.0,-1517535643.0,-636216561.0,-238139868.0
10,Chi phí quản lý doanh  nghiệp,-430847429.0,-1480421516.0,-2772331228.0,-4335955299.0,-4749853170.0,-23017616602.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,-430847429.0,7511004935.0,11253702370.0,7034095396.0,1435709300.0,-70733433662.0
12,Thu nhập khác,0.0,145000.0,1006388638.0,1158635826.0,150000000.0,308518381.0
13,Chi phí khác,0.0,-53748.0,-279571241.0,-513797637.0,-1149487981.0,-2654917595.0
14,"Thu nhập khác, ròng",0.0,91252.0,726817397.0,644838189.0,-999487981.0,-2346399214.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,-430847429.0,7511096187.0,11980519767.0,7678933585.0,436221319.0,-73079832876.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,-1558017726.0,-2701041863.0,-1645910407.0,-204337467.0,0.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0,-1558017726.0,-2701041863.0,-1645910407.0,-204337467.0,0.0
20,Lãi/(lỗ) thuần sau thuế,-430847429.0,5953078461.0,9279477904.0,6033023178.0,231883852.0,-73079832876.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,-430847429.0,5953078461.0,9279477904.0,6033023178.0,231883852.0,-73079832876.0
23,Lãi cơ bản trên cổ phiếu,-172.0,834.0,717.0,292.0,8.0,-2650.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0
