,CHỈ TIÊU,2019,2020,2021,2022
0,TỔNG TÀI SẢN,850500503845.0,10450455029863.0,10541225209828.0,8274995107649.0
1,TÀI SẢN NGẮN HẠN,180282719450.0,3064287873146.0,2386441180858.0,2252230403046.0
2,Tiền và tương đương tiền,10307089928.0,29692934662.0,271689886895.0,79203619488.0
3,Tiền,307089928.0,29692934662.0,271689886895.0,77203619488.0
4,Các khoản tương đương tiền,10000000000.0,0.0,0.0,2000000000.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,74500000000.0,6102593654.0,6101778950.0
6,Đầu tư ngắn hạn,0.0,0.0,2618534.0,2326054.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,-24880.0,-547104.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,74500000000.0,6100000000.0,6100000000.0
9,Các khoản phải thu,169953001770.0,2779902816936.0,1939175448152.0,2091677924252.0
10,Phải thu khách hàng,169828364177.0,1793185287425.0,1873799769653.0,1691101409676.0
11,Trả trước người bán,209455400.0,50900393474.0,62571411538.0,10064040930.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,78820000000.0,0.0,0.0
15,Phải thu khác,8482193.0,864978904070.0,8032026009.0,404262767045.0
16,Dự phòng nợ khó đòi,-93300000.0,-7983636403.0,-5227759048.0,-13750293399.0
17,Tài sản thiếu chờ xử lý,0.0,1868370.0,0.0,0.0
18,"Hàng tồn kho, ròng",0.0,119028950350.0,95542820341.0,43171545585.0
19,Hàng tồn kho,0.0,119028950350.0,95542820341.0,43171545585.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,22627752.0,61163171198.0,73930431816.0,32075534771.0
22,Trả trước ngắn hạn,22627752.0,1237516445.0,399678771.0,13364980991.0
23,Thuế VAT phải thu,0.0,59788548320.0,73204829917.0,18396692803.0
24,Phải thu thuế khác,0.0,137106433.0,325923128.0,313860977.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,670217784395.0,7386167156717.0,8154784028970.0,6022764704603.0
28,Phải thu dài hạn,500000000.0,55000000000.0,667197094794.0,737750610904.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,11647094794.0,0.0
