,CHỈ TIÊU,Q2 2012
0,Doanh số,336355377705.0
1,Các khoản giảm trừ,-1566793887.0
2,Doanh số thuần,334788583818.0
3,Giá vốn hàng bán,-193697414294.0
4,Lãi gộp,141091169524.0
5,Thu nhập tài chính,973719460.0
6,Chi phí tài chính,-10594393723.0
7,Trong đó: Chi phí lãi vay,-10585326253.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0
9,Chi phí bán hàng,-63689883070.0
10,Chi phí quản lý doanh  nghiệp,-24264992470.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,43515619721.0
12,Thu nhập khác,-14372398.0
13,Chi phí khác,262578554.0
14,"Thu nhập khác, ròng",248206156.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),709471018.0
16,Lãi/(lỗ) ròng trước thuế,44473296895.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-13753389394.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,-1560229892.0
19,Chi phí thuế thu nhập doanh nghiệp,-15313619286.0
20,Lãi/(lỗ) thuần sau thuế,29159677609.0
21,Lợi ích của cổ đông thiểu số,1719801704.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,27439875905.0
23,Lãi cơ bản trên cổ phiếu,0.0
24,Lãi trên cổ phiếu pha loãng,0.0
