,Unnamed: 0,Q2 2012,Q2 2013
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,99575309522.0,56272114891.0
3,Khấu hao TSCĐ,0.0,5633493828.0
11,Các khoản điều chỉnh khác,0.0,0.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-30552123161.0,-44564494774.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-23213254089.0,-29432257547.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,-120727273.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,440000000.0,0.0
26,Đầu tư vào các doanh nghiệp khác,34454342018.0,-15618423491.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,-42500000000.0,-56733559.0
28,Cổ tức và tiền lãi nhận được,266788910.0,663647096.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-73447555441.0,23432626962.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,-14247500000.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0
32,Tiền thu được các khoản đi vay,40597689008.0,114889628050.0
33,Tiển trả các khoản đi vay,-87571806449.0,-89721574088.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0
35,Cổ tức đã trả,-12225938000.0,-1735427000.0
36,Tiền lãi đã nhận,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,-4424369080.0,35140247079.0
38,Tiền và tương đương tiền đầu kỳ,47597662859.0,52717005033.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,43173293779.0,87857252112.0
