,CHỈ TIÊU,Q2 2012,Q2 2013,Q2 2015
0,TỔNG TÀI SẢN,896790898135.0,1062683553523.0,179705668226.0
1,TÀI SẢN NGẮN HẠN,658679425871.0,774427905682.0,87170173937.0
2,Tiền và tương đương tiền,43173293779.0,87857252112.0,14919899114.0
3,Tiền,40273293779.0,86757252112.0,14919899114.0
4,Các khoản tương đương tiền,2900000000.0,1100000000.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,240000000.0,1014297961.0,0.0
6,Đầu tư ngắn hạn,240000000.0,1014297961.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0
9,Các khoản phải thu,309967023625.0,400018710227.0,18186223641.0
10,Phải thu khách hàng,284343637244.0,370872884983.0,16190242719.0
11,Trả trước người bán,26703871676.0,29073430852.0,1099991650.0
12,Phải thu nội bộ,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0
15,Phải thu khác,1453189775.0,7402844184.0,895989272.0
16,Dự phòng nợ khó đòi,-2533675070.0,-7330449792.0,0.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",287294785778.0,259660677317.0,53760149718.0
19,Hàng tồn kho,288180552002.0,262181686276.0,54423929928.0
20,Dự phòng giảm giá HTK,-885766224.0,-2521008959.0,-663780210.0
21,Tài sản lưu động khác,18004322689.0,25876968065.0,303901464.0
22,Trả trước ngắn hạn,1283853809.0,2414056135.0,303901464.0
23,Thuế VAT phải thu,4484643792.0,5093647142.0,0.0
24,Phải thu thuế khác,59335751.0,0.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0
26,Tài sản lưu động khác,12176489337.0,18369264788.0,0.0
27,TÀI SẢN DÀI HẠN,238111472264.0,288255647841.0,92535494289.0
28,Phải thu dài hạn,0.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0
36,Tài sản cố định,201347417962.0,240345435525.0,89466318571.0
37,GTCL TSCĐ hữu hình,154490210328.0,166518182009.0,85635153065.0
38,Nguyên giá TSCĐ hữu hình,274445577391.0,308048774051.0,154679431552.0
39,Khấu hao lũy kế TSCĐ hữu hình,-119955367063.0,-141530592042.0,-69044278487.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,28072934502.0,28402693322.0,3831165506.0
44,Nguyên giá TSCĐ vô hình,28833422598.0,29507905733.0,5056428674.0
45,Khấu hao lũy kế TSCĐ vô hình,-760488096.0,-1105212411.0,-1225263168.0
46,Bất động sản đầu tư,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,0.0,0.0,0.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0
51,Xây dựng cơ bản dở dang,18784273132.0,45424560194.0,0.0
52,Đầu tư dài hạn,8193379000.0,5600424101.0,0.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,8193379000.0,5100424101.0,0.0
55,Đầu tư dài hạn khác,0.0,500000000.0,0.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0
58,Tài sản dài hạn khác,1328371982.0,2408383509.0,3069175718.0
59,Trả trước dài hạn,345314946.0,1445247193.0,3069175718.0
60,Thuế thu nhập hoãn lại phải thu,864100200.0,791451100.0,0.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0
62,Các tài sản dài hạn khác,118956836.0,171685216.0,0.0
63,Lợi thế thương mại,27242303320.0,39901404706.0,0.0
64,NỢ PHẢI TRẢ,442143878685.0,480971786574.0,44096776723.0
65,Nợ ngắn hạn,434553990174.0,480513141324.0,44096776723.0
66,Phải trả người bán,152971001380.0,150880690640.0,15359571219.0
67,Người mua trả tiền trước,184748534.0,968157667.0,1150198574.0
68,Thuế và các khoản phải trả Nhà nước,19429291141.0,25292031442.0,6101289850.0
69,Phải trả người lao động,7763795859.0,10357125966.0,4010695268.0
70,Chi phí phải trả,2818863767.0,23623259600.0,0.0
71,Phải trả nội bộ,0.0,0.0,0.0
72,Phải trả về xây dựng cơ bản,0.0,0.0,0.0
73,Doanh thu chưa thực hiện ngắn hạn,0.0,0.0,0.0
74,Phải trả khác,11217188919.0,13741522028.0,701805761.0
75,Vay ngắn hạn,235719351070.0,250952237618.0,15280000000.0
76,Dự phòng các khoản phải trả ngắn hạn,0.0,0.0,1493216051.0
77,"Quỹ khen thưởng, phúc lợi",4449749504.0,4698116363.0,0.0
78,Quỹ bình ổn giá,0.0,0.0,0.0
