,Unnamed: 0,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,50364108053.0,-24493651157.0,2057529801.0,391613437590.0,-1071967647965.0,162727439607.0,919174585486.0,-548437509991.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,2510466156.0,21099020718.0,13904793188.0,20670970171.0,1029841582.0,9937613991.0,8968187672.0,17590261819.0
2,Lãi trước thuế,-5171116655.0,9376977962.0,4550781226.0,10710542352.0,386789741.0,-16502496323.0,16546162843.0,12181554897.0
3,Khấu hao TSCĐ,996681043.0,1019254077.0,1036705977.0,1118683629.0,759571550.0,873114548.0,-190280294.0,2175937562.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,0.0,0.0,0.0,-1556814044.0,0.0,3179451946.0,-1160395225.0,1816764847.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,113716725.0,4158603570.0,2173806903.0,2066734866.0,-241345108.0,567346415.0,-4932132966.0,-25715712622.0
9,Chi phí lãi vay,6571185043.0,6544185109.0,6143499082.0,8331823368.0,124825399.0,21820197405.0,-1295166686.0,27131717135.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,465023926098.0,-157114585443.0,-76938298778.0,532505316467.0,-922915486061.0,-28148914808.0,1034548779213.0,-620923381922.0
13,(Tăng)/giảm hàng tồn kho,-9813876266.0,-30638885018.0,-8242506688.0,26631339.0,-654242391.0,-50593438068.0,-21349347435.0,77333718844.0
14,Tăng/(giảm) các khoản phải trả,-386791865649.0,130834704525.0,84572600900.0,-154428526093.0,-109291893909.0,217066208479.0,-88901683370.0,-12295258390.0
15,( Tăng)/giảm chi phí trả trước,732992883.0,3059755160.0,-3737274807.0,-1150630450.0,-43746569543.0,26827810063.0,447662245.0,4011466210.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-21297535169.0,8550964512.0,-7501784014.0,-6010323844.0,-319595657.0,-7929004092.0,-14841550783.0,-14054316552.0
18,Thuế thu nhập doanh nghiệp đã trả,0.0,-284625611.0,0.0,0.0,3930298014.0,-4432835958.0,302537944.0,-100000000.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-112283275.0,-1459157108.0,-1966770539.0,-290719217997.0,-6181372152.0,18349101754.0,-476038285880.0,488249528563.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-113500000.0,-1460620088.0,-1967463636.0,-494415291.0,-6922717260.0,-586542000.0,-2217428677.0,1094105222.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,-19969709700.0,0.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,500000000.0,500000000.0,-500000000.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,-270780900000.0,0.0,-332916138.0,-458417083862.0,458750000000.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,20009905000.0,-20009905000.0,33011555000.0
28,Cổ tức và tiền lãi nhận được,1216725.0,1462980.0,693097.0,25806994.0,241345108.0,-241345108.0,4606131659.0,-4606131659.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-19105000000.0,-5775000000.0,1405000000.0,-80348590100.0,1057467976031.0,-180944324118.0,-444349098497.0,313566130775.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,708000000000.0,-440000000.0,-590000000000.0,590000000000.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,5700000000.0,17000000000.0,1480000000.0,119800509900.0,350000000000.0,-3477149000.0,4380000000.0,50993086784.0
33,Tiển trả các khoản đi vay,-24805000000.0,-22775000000.0,-75000000.0,-200149100000.0,-476951000.0,-176917248087.0,141765901503.0,-327327956009.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,-55072969.0,-109927031.0,-495000000.0,-99000000.0
35,Cổ tức đã trả,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,31146824778.0,-31727808265.0,1495759262.0,20545629493.0,-20681044086.0,132217243.0,-1212798891.0,253378149347.0
38,Tiền và tương đương tiền đầu kỳ,1341386200.0,32488210978.0,760402713.0,2256161975.0,22801791468.0,2120747382.0,2252964625.0,1040165734.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,32488210978.0,760402713.0,2256161975.0,22801791468.0,2120747382.0,2252964625.0,1040165734.0,254418315081.0
