,CHỈ TIÊU,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,490292100177.0,651598747980.0,886231426191.0,1611942396242.0,1830147922989.0,2739085587744.0,3321100589906.0
1,TÀI SẢN NGẮN HẠN,322909345992.0,472710562819.0,633798966572.0,1124034617799.0,1280062458525.0,1785084762072.0,2320048883518.0
2,Tiền và tương đương tiền,21736547069.0,36784440611.0,11470227513.0,26984485896.0,68644581616.0,132141568948.0,353696089746.0
3,Tiền,21736547069.0,36784440611.0,11470227513.0,26984485896.0,68644581616.0,132141568948.0,66496089746.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,0.0,287200000000.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,300000000.0,840000000.0,2706860822.0,33150000000.0,155625400000.0,342107575000.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,300000000.0,840000000.0,2706860822.0,33150000000.0,155625400000.0,342107575000.0
9,Các khoản phải thu,95875482908.0,157062445831.0,166072941257.0,273404620294.0,272947463920.0,571438135628.0,623314640427.0
10,Phải thu khách hàng,89185248603.0,150015317254.0,140006706228.0,206815288304.0,111778585962.0,257615447733.0,349065116720.0
11,Trả trước người bán,4031769655.0,3063928511.0,20842658461.0,42593287743.0,12729849728.0,117181095758.0,243160238399.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,18861600000.0,57000000000.0,78900000000.0,4050000000.0
15,Phải thu khác,2658464650.0,3983200066.0,5223576568.0,5134444247.0,91439028230.0,117741592137.0,27039285308.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",203266492946.0,276626116561.0,438678037565.0,782822531271.0,896613816198.0,910979737752.0,964332707149.0
19,Hàng tồn kho,203266492946.0,276626116561.0,438678037565.0,782822531271.0,896613816198.0,910979737752.0,964332707149.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,2030823069.0,1937559816.0,16737760237.0,38116119516.0,8706596791.0,14899919744.0,36597871196.0
22,Trả trước ngắn hạn,926093552.0,581798446.0,658485301.0,1085470464.0,1870419917.0,2212301755.0,5924136519.0
23,Thuế VAT phải thu,1104729485.0,1355761370.0,16079274936.0,36933133769.0,6719539687.0,12668516389.0,30673734677.0
24,Phải thu thuế khác,32.0,0.0,0.0,97515283.0,116637187.0,19101600.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,167382754185.0,178888185161.0,252432459619.0,487907778443.0,550085464464.0,954000825672.0,1001051706388.0
28,Phải thu dài hạn,345638826.0,1006610277.0,688092731.0,989425739.0,3601379710.0,225993120269.0,258494442624.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,6000000000.0
34,Phải thu dài hạn khác,345638826.0,1006610277.0,688092731.0,989425739.0,3601379710.0,225993120269.0,252494442624.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,162803721276.0,174680804471.0,215018477365.0,382166527144.0,468027944801.0,491578493970.0,535155102252.0
37,GTCL TSCĐ hữu hình,153378117309.0,162865524785.0,207658416935.0,379834762582.0,442075373748.0,442370973058.0,469178485983.0
38,Nguyên giá TSCĐ hữu hình,194377816563.0,219548520063.0,283788422404.0,500093188466.0,604193028897.0,651082848858.0,729272318473.0
39,Khấu hao lũy kế TSCĐ hữu hình,-40999699254.0,-56682995278.0,-76130005469.0,-120258425884.0,-162117655149.0,-208711875800.0,-260093832490.0
40,GTCL Tài sản thuê tài chính,9341621467.0,11737750402.0,7308307506.0,2208688839.0,25765339190.0,48124120671.0,63380488955.0
41,Nguyên giá tài sản thuê tài chính,9867843206.0,13466025025.0,9896297902.0,4050381818.0,28936878499.0,57076951682.0,77843685784.0
42,Khấu hao lũy kế tài sản thuê tài chính,-526221739.0,-1728274623.0,-2587990396.0,-1841692979.0,-3171539309.0,-8952831011.0,-14463196829.0
43,GTCL tài sản cố định vô hình,83982500.0,77529284.0,51752924.0,123075723.0,187231863.0,1083400241.0,2596127314.0
44,Nguyên giá TSCĐ vô hình,123200000.0,143200000.0,143200000.0,248200000.0,374200000.0,1391517500.0,3359892500.0
45,Khấu hao lũy kế TSCĐ vô hình,-39217500.0,-65670716.0,-91447076.0,-125124277.0,-186968137.0,-308117259.0,-763765186.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,176214762.0,589317350.0,356267588.0,48379921597.0,12634601538.0,25889868936.0,2195585114.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,0.0,0.0,33680000000.0,43500000000.0,48500000000.0,191271560385.0,191684934022.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,0.0,0.0,33500000000.0,33500000000.0,33500000000.0,161271560385.0,161684934022.0
55,Đầu tư dài hạn khác,0.0,0.0,0.0,0.0,0.0,15000000000.0,15000000000.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,180000000.0,10000000000.0,15000000000.0,15000000000.0,15000000000.0
58,Tài sản dài hạn khác,4057179321.0,2611453063.0,2689621935.0,12871903963.0,17321538415.0,19267782112.0,13521642376.0
59,Trả trước dài hạn,4057179321.0,2611453063.0,2689621935.0,12451889657.0,15425185778.0,17224570713.0,11903609347.0
60,Thuế thu nhập hoãn lại phải thu,0.0,0.0,0.0,420014306.0,1896352637.0,2043211399.0,1618033029.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Các tài sản dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,349975990533.0,383793522032.0,582338445705.0,1053458539928.0,1199243888423.0,2018742946148.0,2507373314891.0
65,Nợ ngắn hạn,307709948110.0,354924614786.0,548944684179.0,922786396488.0,1077255538711.0,1700641252225.0,2219837611500.0
66,Phải trả người bán,90519482057.0,61012509212.0,50442833895.0,83627381415.0,93379091389.0,202424137990.0,162359519000.0
67,Người mua trả tiền trước,2933538581.0,21037717381.0,12735630051.0,8128548841.0,16354676268.0,33914751340.0,15797713356.0
