,CHỈ TIÊU,2013,2014,2015,2016,2017,2018
0,Doanh số,304099371419.0,298599081193.0,383175606582.0,307409557449.0,83587172564.0,12991962600.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,304099371419.0,298599081193.0,383175606582.0,307409557449.0,83587172564.0,12991962600.0
3,Giá vốn hàng bán,-303060976957.0,-282229942567.0,-367872201564.0,-302369795004.0,-82475062543.0,-12980819100.0
4,Lãi gộp,1038394462.0,16369138626.0,15303405018.0,5039762445.0,1112110021.0,11143500.0
5,Thu nhập tài chính,3399411.0,3058368.0,4752102495.0,76192048.0,342999.0,12928.0
6,Chi phí tài chính,-48218920.0,-9036719.0,0.0,-1107039790.0,0.0,0.0
7,Trong đó: Chi phí lãi vay,-41278192.0,-9036719.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-59190999.0,-74917091.0,-368817259.0,-179976648.0,-338322021.0,0.0
10,Chi phí quản lý doanh  nghiệp,-495223299.0,-375551162.0,-442400239.0,-894829450.0,-622786145.0,-342281281.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,439160655.0,15912692022.0,19244290015.0,2934108605.0,151344854.0,-331124853.0
12,Thu nhập khác,0.0,459716639.0,1357501.0,474151.0,584856.0,333333.0
13,Chi phí khác,0.0,-729716611.0,-390558027.0,-682571902.0,-1290137.0,-14881208.0
14,"Thu nhập khác, ròng",0.0,-269999972.0,-389200526.0,-682097751.0,-705281.0,-14547875.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,439160655.0,15642692050.0,18855089489.0,2252010854.0,150639573.0,-345672728.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,-3431909179.0,-3364012113.0,-571728268.0,-250183938.0,0.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0,-3431909179.0,-3364012113.0,-571728268.0,-250183938.0,0.0
20,Lãi/(lỗ) thuần sau thuế,439160655.0,12210782871.0,15491077376.0,1680282586.0,-99544365.0,-345672728.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,439160655.0,12210782871.0,15491077376.0,1680282586.0,-99544365.0,-345672728.0
23,Lãi cơ bản trên cổ phiếu,0.0,1221.08,845.0,84.0,0.0,-17.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0
