,CHỈ TIÊU,Q2 2011,Q3 2011,Q4 2011,Q4 2011.1,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q4 2012.1,Q1 2014
0,Doanh số,107166291220.0,61186152074.0,86062185625.0,86062185625.0,73521646464.0,78371901879.0,33623192898.0,6878832189.0,6878832189.0,10873789260.0
1,Các khoản giảm trừ,-94026364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,107072264856.0,61186152074.0,86062185625.0,86062185625.0,73521646464.0,78371901879.0,33623192898.0,6878832189.0,6878832189.0,10873789260.0
3,Giá vốn hàng bán,-96436051171.0,-47736049777.0,-75472841877.0,-75472841877.0,-64219720486.0,-83864272002.0,-38181145541.0,-11048597471.0,-11048597471.0,-12890890479.0
4,Lãi gộp,10636213685.0,13450102297.0,10589343748.0,10589343748.0,9301925978.0,-5492370123.0,-4557952643.0,-4169765282.0,-4169765282.0,-2017101219.0
5,Thu nhập tài chính,18157577.0,15535712.0,29151479.0,29151479.0,8379442.0,6139925.0,1682757.0,19956046.0,19956046.0,3495846.0
6,Chi phí tài chính,-6320801432.0,-6815555308.0,-5477804431.0,-5477804431.0,-4799782250.0,-5456707958.0,-4117326749.0,-3763638559.0,-3763638559.0,-1758108780.0
7,Trong đó: Chi phí lãi vay,-6225601432.0,-6815555308.0,-5461804431.0,-5461804431.0,-4799782250.0,-5149174470.0,-4117326749.0,-3687533074.0,-3687533074.0,-1758108780.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-92475870.0,-187343519.0,-174413226.0,-174413226.0,-32560791.0,-45095515.0,0.0,0.0,0.0,0.0
10,Chi phí quản lý doanh  nghiệp,-4500127425.0,-5266134099.0,-6161088326.0,-6161088326.0,-4836424103.0,-4486343181.0,-2113559358.0,-3571325691.0,-3571325691.0,-856867131.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,-259033465.0,1196605083.0,-1194810756.0,-1194810756.0,-358461724.0,-15474376852.0,-10787155993.0,-11484773486.0,-11484773486.0,-4628581284.0
12,Thu nhập khác,777272727.0,150000000.0,0.0,0.0,1392000000.0,48181818.0,7554545455.0,0.0,0.0,3425130918.0
13,Chi phí khác,-7862861.0,-119922278.0,0.0,0.0,-690008299.0,-141798251.0,-5800000000.0,0.0,0.0,-389485714.0
14,"Thu nhập khác, ròng",769409866.0,30077722.0,0.0,0.0,701991701.0,-93616433.0,1754545455.0,0.0,0.0,3035645204.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,510376401.0,1226682805.0,-1194810756.0,-1194810756.0,343529977.0,-15567993285.0,-9032610538.0,-11484773486.0,-11484773486.0,-1592936080.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-178483278.0,0.0,-51724056.0,-51724056.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-178483278.0,0.0,-51724056.0,-51724056.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Lãi/(lỗ) thuần sau thuế,331893123.0,1226682805.0,-1246534812.0,-1246534812.0,343529977.0,-15567993285.0,-9032610538.0,-11484773486.0,-11484773486.0,-1592936080.0
21,Lợi ích của cổ đông thiểu số,169061356.0,116311307.0,8163831.0,8163831.0,49371777.0,-995660434.0,-466655665.0,-21670666.0,-21670666.0,62735095.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,162831767.0,1110371498.0,-1254698643.0,-1254698643.0,294158200.0,-14572332851.0,-8565954873.0,-11463102820.0,-11463102820.0,-1655671175.0
23,Lãi cơ bản trên cổ phiếu,58.0,397.0,-449.0,-449.0,105.0,-5204.0,-3059.0,-4094.0,-4094.0,-591.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
