,CHỈ TIÊU,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q4 2012.1,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014
0,Doanh số,3012911818.0,-1915649206.0,507440000.0,2923964920.0,2923964920.0,0.0,0.0,0.0,17409532351.0,0.0
1,Các khoản giảm trừ,0.0,0.0,0.0,-135078610.0,-135078610.0,-35604300.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,3012911818.0,-1915649206.0,507440000.0,2788886310.0,2788886310.0,-35604300.0,0.0,0.0,17409532351.0,0.0
3,Giá vốn hàng bán,-2864088727.0,1843636909.0,-482030000.0,-2621120231.0,-2621120231.0,0.0,0.0,0.0,-16635834789.0,0.0
4,Lãi gộp,148823091.0,-72012297.0,25410000.0,167766079.0,167766079.0,-35604300.0,0.0,0.0,773697562.0,0.0
5,Thu nhập tài chính,513393784.0,159600.0,905978.0,370520.0,370520.0,56169.0,14999.0,47435.0,68866.0,34916.0
6,Chi phí tài chính,-877954102.0,-3000000.0,-1453581.0,-269393158.0,-269393158.0,0.0,-47241261.0,0.0,-226053302.0,-30748045.0
7,Trong đó: Chi phí lãi vay,-354043677.0,-3000000.0,-1453581.0,-269393158.0,-269393158.0,0.0,-47241261.0,0.0,-226053302.0,0.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Chi phí quản lý doanh  nghiệp,-698052435.0,-562779150.0,-1591770382.0,-1573553177.0,-1573553177.0,-611761991.0,-492457150.0,-359108676.0,849484223.0,-324104219.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,-913789662.0,-637631847.0,-1566907985.0,-1674809736.0,-1674809736.0,-647310122.0,-539683412.0,-359061241.0,1397197349.0,-354817348.0
12,Thu nhập khác,0.0,72900000.0,0.0,0.0,0.0,163636364.0,617185455.0,89948545.0,0.0,0.0
13,Chi phí khác,0.0,-352573662.0,0.0,0.0,0.0,-304047975.0,-263041068.0,-39260487.0,0.0,0.0
14,"Thu nhập khác, ròng",0.0,-279673662.0,0.0,0.0,0.0,-140411611.0,354144387.0,50688058.0,0.0,0.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,-913789662.0,-917305509.0,-1566907985.0,-1674809736.0,-1674809736.0,-787721733.0,-185539025.0,-308373183.0,1397197349.0,-354817348.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Lãi/(lỗ) thuần sau thuế,-913789662.0,-917305509.0,-1566907985.0,-1674809736.0,-1674809736.0,-787721733.0,-185539025.0,-308373183.0,1397197349.0,-354817348.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,-913789662.0,-917305509.0,-1566907985.0,-1674809736.0,-1674809736.0,-787721733.0,-185539025.0,-308373183.0,1397197349.0,-354817348.0
23,Lãi cơ bản trên cổ phiếu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
