,CHỈ TIÊU,2020,2021,2022
0,TỔNG TÀI SẢN,396059675682.0,518895819703.0,306289577540.0
1,TÀI SẢN NGẮN HẠN,346185249560.0,338067478396.0,69644524848.0
2,Tiền và tương đương tiền,3474204403.0,20741605403.0,2057520249.0
3,Tiền,3474204403.0,5381605403.0,2057520249.0
4,Các khoản tương đương tiền,0.0,15360000000.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,8200000000.0,6300000000.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,8200000000.0,6300000000.0,0.0
9,Các khoản phải thu,277774436230.0,224806261438.0,28194608467.0
10,Phải thu khách hàng,89711004795.0,76838139370.0,27523965915.0
11,Trả trước người bán,179541817763.0,32089624039.0,670642552.0
12,Phải thu nội bộ,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,9100000000.0,0.0
15,Phải thu khác,8521613672.0,106778498029.0,0.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",56105335956.0,80985149749.0,39178169652.0
19,Hàng tồn kho,56105335956.0,80985149749.0,39178169652.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0
21,Tài sản lưu động khác,631272971.0,5234461806.0,214226480.0
22,Trả trước ngắn hạn,164640545.0,39982671.0,98712825.0
23,Thuế VAT phải thu,466632426.0,5194479135.0,115513655.0
24,Phải thu thuế khác,0.0,0.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,49874426122.0,180828341307.0,236645052692.0
28,Phải thu dài hạn,0.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0
36,Tài sản cố định,39218414828.0,154152695281.0,36645052692.0
