,Unnamed: 0,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,-40525923881.0,104828966065.0,1865705334.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,8603266400.0,25557016264.0,0.0
2,Lãi trước thuế,9238491896.0,18972505347.0,0.0
3,Khấu hao TSCĐ,1165231655.0,5102132827.0,0.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0
5,Chi phí dự phòng,0.0,0.0,0.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-3546708384.0,-366363172.0,0.0
9,Chi phí lãi vay,1746251233.0,1848741262.0,0.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,-29775663819.0,110457139097.0,0.0
13,(Tăng)/giảm hàng tồn kho,-15736703732.0,-24879813793.0,0.0
14,Tăng/(giảm) các khoản phải trả,-1797153426.0,-12840761447.0,0.0
15,( Tăng)/giảm chi phí trả trước,255157223.0,185239862.0,0.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-1742942609.0,-1856263930.0,0.0
18,Thuế thu nhập doanh nghiệp đã trả,-331883918.0,-1778218855.0,0.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,112124628867.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,0.0,-102140000000.0,0.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-199833408088.0,-93927077842.0,0.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-9546045455.0,-70006630000.0,0.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,-14400000000.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,6000000000.0,7200000000.0,0.0
26,Đầu tư vào các doanh nghiệp khác,-197319004884.0,-17110000000.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,1031642251.0,389552158.0,0.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,242455893667.0,6365512777.0,0.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,239970000000.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,75030528950.0,80806412678.0,0.0
33,Tiển trả các khoản đi vay,-72544635283.0,-74440899901.0,0.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0
35,Cổ tức đã trả,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,2096561698.0,17267401000.0,1865705334.0
38,Tiền và tương đương tiền đầu kỳ,1377642705.0,3474204403.0,191814915.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,3474204403.0,20741605403.0,2057520249.0
