,CHỈ TIÊU,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,TỔNG TÀI SẢN,385941424427.0,395361431311.0,386409378718.0,396384223778.0,518895819703.0,304353616457.0,313880091258.0,314795470116.0,306289577540.0
1,TÀI SẢN NGẮN HẠN,297660009599.0,346376881872.0,338462641450.0,300653532360.0,338067478396.0,65331137237.0,75449799171.0,77321487039.0,69644524848.0
2,Tiền và tương đương tiền,3417588403.0,3837950480.0,3455616053.0,5117428698.0,20741605403.0,435808204.0,396644221.0,432088152.0,2057520249.0
3,Tiền,3417588403.0,3837950480.0,3455616053.0,5117428698.0,5381605403.0,435808204.0,396644221.0,432088152.0,2057520249.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,15360000000.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,8200000000.0,6300000000.0,6300000000.0,6300000000.0,6300000000.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,8200000000.0,6300000000.0,6300000000.0,6300000000.0,6300000000.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,229063930880.0,276043877997.0,261140821800.0,215853236326.0,224806261438.0,23755167658.0,40109604207.0,36459423117.0,28194608467.0
10,Phải thu khách hàng,89752560523.0,96206372514.0,98907136599.0,110021266496.0,76838139370.0,14434444580.0,40109604207.0,36353854025.0,27523965915.0
11,Trả trước người bán,124529741377.0,170820371115.0,152731984713.0,94825039617.0,32089624039.0,9320723078.0,0.0,105569092.0,670642552.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,1600000000.0,1600000000.0,6600000000.0,0.0,0.0,0.0,0.0
