,CHỈ TIÊU,2020,2021,2022
0,Doanh số,130285141116.0,344892643345.0,126908492675.0
1,Các khoản giảm trừ,0.0,0.0,0.0
2,Doanh số thuần,130285141116.0,344892643345.0,126908492675.0
3,Giá vốn hàng bán,-115727882255.0,-313163842309.0,-118059803936.0
4,Lãi gộp,14557258861.0,31728801036.0,8848688739.0
5,Thu nhập tài chính,964918774.0,1655590941.0,-16732993.0
6,Chi phí tài chính,-1882914881.0,-1853049150.0,-380843601.0
7,Trong đó: Chi phí lãi vay,-1746251233.0,-1848741262.0,-380843601.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0
9,Chi phí bán hàng,-3299338638.0,-4546824922.0,-2931504576.0
10,Chi phí quản lý doanh  nghiệp,-3956667529.0,-7815841019.0,-2956752245.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,6383256587.0,19168676886.0,2562855324.0
12,Thu nhập khác,2871347042.0,317030120.0,1901070.0
13,Chi phí khác,-16111733.0,-513201659.0,-30295288.0
14,"Thu nhập khác, ròng",2855235309.0,-196171539.0,-28394218.0
16,Lãi/(lỗ) ròng trước thuế,9238491896.0,18972505347.0,2534461106.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-929412241.0,-4030385232.0,-598151279.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-929412241.0,-4030385232.0,-598151279.0
20,Lãi/(lỗ) thuần sau thuế,8309079655.0,14942120115.0,1936309827.0
21,Lợi ích của cổ đông thiểu số,0.0,1507468562.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,8309079655.0,13434651553.0,1936309827.0
23,Lãi cơ bản trên cổ phiếu,2044.0,480.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0
