,Unnamed: 0,Q1 2021,Q2 2021,Q3 2021,Q1 2022,Q3 2022,Q4 2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,-3221863736.0,-489350187.0,1828958523.0,6498593088.0,2075892091.0,1865705334.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,1765944957.0,4820973104.0,5449664677.0,0.0,0.0,0.0
2,Lãi trước thuế,811837118.0,3087478101.0,4872462023.0,0.0,0.0,0.0
3,Khấu hao TSCĐ,629691192.0,1162450956.0,325892344.0,0.0,0.0,0.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,0.0,0.0,357095796.0,0.0,0.0,0.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,46400.0,-46400.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-133592982.0,97925612.0,-72990351.0,0.0,0.0,0.0
9,Chi phí lãi vay,458009629.0,473072035.0,-32748735.0,0.0,0.0,0.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,2288303840.0,16149644601.0,-15069986502.0,0.0,0.0,0.0
13,(Tăng)/giảm hàng tồn kho,-3706759926.0,-7250274861.0,-5867928703.0,0.0,0.0,0.0
14,Tăng/(giảm) các khoản phải trả,-1987784318.0,-13548893472.0,16091152611.0,0.0,0.0,0.0
15,( Tăng)/giảm chi phí trả trước,45537534.0,36405141.0,-74790281.0,0.0,0.0,0.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-458009629.0,-474811154.0,32795135.0,0.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp đã trả,-1096022077.0,-295467663.0,-386729115.0,0.0,0.0,0.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,1654780701.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,-73074117.0,73074117.0,0.0,0.0,0.0,0.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,2004198572.0,-1691821065.0,52002252.0,24160000000.0,0.0,0.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,0.0,60000000.0,0.0,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,-2900000000.0,0.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,-1300000000.0,4500000000.0,0.0,24160000000.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,3200000000.0,-3200000000.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,104198572.0,-91821065.0,-7997748.0,0.0,0.0,0.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,1581411241.0,1798883225.0,-219194530.0,-31791651910.0,-2040448160.0,0.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,12316554934.0,28841591933.0,5920490515.0,1823348090.0,0.0,0.0
33,Tiển trả các khoản đi vay,-10735143693.0,-27042708708.0,-6139685045.0,-33615000000.0,-2040448160.0,0.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,0.0,0.0,0.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,363746077.0,-382288027.0,1661766245.0,-1133058822.0,35443931.0,1865705334.0
38,Tiền và tương đương tiền đầu kỳ,3474204403.0,3837950480.0,3455616053.0,1568867026.0,396644221.0,191814915.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,-46400.0,46400.0,0.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,3837950480.0,3455616053.0,5117428698.0,435808204.0,432088152.0,2057520249.0
