,CHỈ TIÊU,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,46969647077.0,78800388437.0,77979852114.0,141142755717.0,28900701095.0,45375128500.0,34171785500.0,18460877580.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,46969647077.0,78800388437.0,77979852114.0,141142755717.0,28900701095.0,45375128500.0,34171785500.0,18460877580.0
3,Giá vốn hàng bán,-42471317875.0,-72200231079.0,-70597813783.0,-127898522561.0,-26371743716.0,-41721461612.0,-31042160598.0,-18249816317.0
4,Lãi gộp,4498329202.0,6600157358.0,7382038331.0,13244233156.0,2528957379.0,3653666888.0,3129624902.0,211061263.0
5,Thu nhập tài chính,115386412.0,990078.0,129270157.0,1409944294.0,-16954313.0,67152.0,81587.0,72581.0
6,Chi phí tài chính,-458009629.0,-473118435.0,-458029740.0,-306366066.0,-327800968.0,-39639103.0,-13403530.0,0.0
7,Trong đó: Chi phí lãi vay,-458009629.0,-473072035.0,-458029740.0,-306366066.0,-327800968.0,-39639103.0,0.0,0.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-1368242851.0,-990443298.0,-933711994.0,-1254426779.0,-690881550.0,-786404674.0,-731061751.0,-721506601.0
10,Chi phí quản lý doanh  nghiệp,-1976300152.0,-1982386659.0,-2461261328.0,-1648939046.0,-742195781.0,-1002779998.0,-477902074.0,-513965875.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,811162982.0,3155199044.0,3658305426.0,11444445559.0,751124767.0,1824910265.0,1907339134.0,-1024338632.0
12,Thu nhập khác,887007.0,4582521.0,307574599.0,4305903.0,582372.0,432328.0,465062.0,421308.0
13,Chi phí khác,-212871.0,-72303464.0,-23553435.0,-213259629.0,-83600.0,-117221.0,-929214.0,-13683467.0
14,"Thu nhập khác, ròng",674136.0,-67720943.0,284021164.0,-208953726.0,498772.0,315107.0,-464152.0,-13262159.0
16,Lãi/(lỗ) ròng trước thuế,811837118.0,3087478101.0,3942326590.0,11235491833.0,751623539.0,1825225372.0,1906874982.0,-1037600791.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-215846025.0,-611932725.0,-946461149.0,-2276194329.0,-150341428.0,-450245074.0,-381560839.0,204760020.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-215846025.0,-611932725.0,-946461149.0,-2276194329.0,-150341428.0,-450245074.0,-381560839.0,204760020.0
20,Lãi/(lỗ) thuần sau thuế,595991093.0,2475545376.0,2995865441.0,8959297504.0,601282111.0,1374980298.0,1525314143.0,-832840771.0
21,Lợi ích của cổ đông thiểu số,50084819.0,190681612.0,393761013.0,901605895.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,545906274.0,2284863764.0,2602104428.0,8057691609.0,601282111.0,1374980298.0,1525314143.0,-832840771.0
23,Lãi cơ bản trên cổ phiếu,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
