,CHỈ TIÊU,2014,2015,2016,2017,2018,2019,2020,2021
0,TỔNG TÀI SẢN,155242579532.0,159741855912.0,170226138157.0,181101546855.0,189677499045.0,182653718900.0,164282611104.0,157398753057.0
1,TÀI SẢN NGẮN HẠN,122927216391.0,105407508740.0,124159758401.0,139272713305.0,156111752128.0,153865472952.0,142603426389.0,141232572290.0
2,Tiền và tương đương tiền,8036780006.0,22080329630.0,33118530054.0,19454136363.0,50497918851.0,45168387025.0,19336334446.0,25936872376.0
3,Tiền,8036780006.0,7080329630.0,17118530054.0,10454136363.0,5497918851.0,7168387025.0,13336334446.0,13936872376.0
4,Các khoản tương đương tiền,0.0,15000000000.0,16000000000.0,9000000000.0,45000000000.0,38000000000.0,6000000000.0,12000000000.0
5,Giá trị thuần đầu tư ngắn hạn,19350000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,19350000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,53720153336.0,54112371857.0,54353630177.0,79846947572.0,77522677868.0,87069640456.0,95672396740.0,98727082937.0
10,Phải thu khách hàng,47141763470.0,48707572718.0,49749225538.0,69578840325.0,66802944262.0,78240843241.0,76943313398.0,73522193875.0
11,Trả trước người bán,1319156200.0,357998980.0,1463809188.0,3990641000.0,1201115184.0,393179275.0,432962042.0,4691828952.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,5259233666.0,5046800159.0,3140595451.0,6277466247.0,9636118422.0,8553117940.0,18413621300.0,20630560110.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0,0.0,-117500000.0,-117500000.0,-117500000.0,-117500000.0
