,CHỈ TIÊU,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q4 2021.1,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,164093431676.0,295643975816.0,232726096876.0,146434142752.0,182224249602.0,182224249602.0,321925546118.0,218391006631.0,341419598764.0,373394862757.0
1,Các khoản giảm trừ,0.0,-19047619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,164093431676.0,295624928197.0,232726096876.0,146434142752.0,182224249602.0,182224249602.0,321925546118.0,218391006631.0,341419598764.0,373394862757.0
3,Giá vốn hàng bán,-127675442771.0,-234468240833.0,-152033724155.0,-97159420280.0,-141765477403.0,-141765477403.0,-253716027620.0,-151075020936.0,-238441945862.0,-262084455690.0
4,Lãi gộp,36417988905.0,61156687364.0,80692372721.0,49274722472.0,40458772199.0,40458772199.0,68209518498.0,67315985695.0,102977652902.0,111310407067.0
5,Thu nhập tài chính,919201728.0,4480553673.0,4370780237.0,368042650.0,4723108535.0,4723108535.0,5337895613.0,4035240885.0,958930434.0,3555483612.0
6,Chi phí tài chính,-7579952026.0,-10431093750.0,-6389614882.0,-7824414035.0,-8992353074.0,-8992353074.0,-7335594791.0,-6627715431.0,-9266446274.0,-4876935510.0
7,Trong đó: Chi phí lãi vay,-7579952026.0,-10431093750.0,-6389614882.0,-7824414035.0,-8383531697.0,-8383531697.0,-7335594791.0,-6627715431.0,-9266446274.0,-4876935510.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-903866228.0,-1185826128.0,-948533283.0,-408682763.0,-272491452.0,-272491452.0,-1588979766.0,-860331231.0,-1700502116.0,169489441.0
10,Chi phí quản lý doanh  nghiệp,-2676244747.0,-6994175440.0,-1683498355.0,-7962646791.0,-3058968898.0,-3058968898.0,-6750098410.0,-1532317212.0,-11992176528.0,-1823952349.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,26177127632.0,47026145719.0,76041506438.0,33447021533.0,32858067310.0,32858067310.0,57872741144.0,62330862706.0,80977458418.0,108334492261.0
12,Thu nhập khác,402336363.0,0.0,10.0,11000042.0,1613719307.0,1613719307.0,1000000.0,402892.0,265041000.0,-258572000.0
13,Chi phí khác,-90031631.0,-371496394.0,-4997219.0,-3500043.0,-11879413.0,-11879413.0,-440034585.0,-40201772.0,-6000000.0,-31819304.0
14,"Thu nhập khác, ròng",312304732.0,-371496394.0,-4997209.0,7499999.0,1601839894.0,1601839894.0,-439034585.0,-39798880.0,259041000.0,-290391304.0
16,Lãi/(lỗ) ròng trước thuế,26489432364.0,46654649325.0,76036509229.0,33454521532.0,34459907204.0,34459907204.0,57433706559.0,62291063826.0,81236499418.0,108044100957.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Lãi/(lỗ) thuần sau thuế,26489432364.0,46654649325.0,76036509229.0,33454521532.0,34459907204.0,34459907204.0,57433706559.0,62291063826.0,81236499418.0,108044100957.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,26489432364.0,46654649325.0,76036509229.0,33454521532.0,34459907204.0,34459907204.0,57433706559.0,62291063826.0,81236499418.0,108044100957.0
23,Lãi cơ bản trên cổ phiếu,1561.0,4765.0,7765.0,3417.0,3519.0,3519.0,5865.0,6361.0,8296.0,11034.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
