,Unnamed: 0,Q3 2015,Q4 2015,Q1 2016,Q2 2016
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,650288309.0,3739191733.0,-14163231522.0,9193324286.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,3305934530.0,7391757103.0,2951996616.0,5876707197.0
2,Lãi trước thuế,1251862573.0,734876555.0,616331515.0,1692503978.0
3,Khấu hao TSCĐ,1397656073.0,1367968100.0,1464700209.0,1451908151.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,-152341953.0,197264228.0,0.0,0.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,0.0
7,Lãi/(lỗ) từ thanh lý tài sản cố định,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-179224033.0,-93132902.0,-169460113.0,1649455359.0
9,Chi phí lãi vay,987981870.0,924167581.0,1040425005.0,1107453223.0
10,Thu lãi và cổ tức,0.0,0.0,0.0,0.0
11,Các khoản điều chỉnh khác,0.0,4260613541.0,0.0,-24613514.0
12,(Tăng)/giảm các khoản phải thu,2886650273.0,-1334787625.0,27580902762.0,36020484301.0
13,(Tăng)/giảm hàng tồn kho,13909720208.0,9465384426.0,-6665747244.0,-10436880301.0
14,Tăng/(giảm) các khoản phải trả,-18234632175.0,-10479514143.0,-36516767355.0,-20736438279.0
15,( Tăng)/giảm chi phí trả trước,-29764772.0,-412971759.0,-473191296.0,-198295409.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-987981870.0,-924167581.0,-1040425005.0,-1107453223.0
18,Thuế thu nhập doanh nghiệp đã trả,-131146573.0,0.0,0.0,0.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,-68491312.0,33491312.0,0.0,-224800000.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-3610624787.0,690558133.0,-731514380.0,-3296396085.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-4139848820.0,-571465210.0,-900974493.0,-4154720726.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,1090909091.0,0.0,181818182.0
24,Tiền cho vay hoặc mua công cụ nợ,350000000.0,-350000000.0,0.0,-992220000.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,350000000.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,1500000000.0
28,Cổ tức và tiền lãi nhận được,179224033.0,171114252.0,169460113.0,168726459.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,3257523895.0,260576763.0,10515331623.0,-5358037137.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,54770432266.0,25181980786.0,28289937390.0,35448814582.0
33,Tiển trả các khoản đi vay,-51512908371.0,-24921404023.0,-17774605767.0,-40806851719.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,0.0,0.0,0.0,0.0
36,Tiền lãi đã nhận,0.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,297187417.0,4690326629.0,-4379414279.0,538891064.0
38,Tiền và tương đương tiền đầu kỳ,607328613.0,904516030.0,5594842659.0,1215428380.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,904516030.0,5594842659.0,1215428380.0,1754319444.0
