,CHỈ TIÊU,Q1 2009,Q2 2009,Q3 2009,Q3 2015,Q4 2015,Q1 2016,Q2 2016
0,Doanh số,27779233494.0,34413807300.0,28075122377.0,53057925350.0,35291001285.0,26053616902.0,34597113950.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,27779233494.0,34413807300.0,28075122377.0,53057925350.0,35291001285.0,26053616902.0,34597113950.0
3,Giá vốn hàng bán,-23149037435.0,-28793614841.0,-23222659797.0,-48012756880.0,-30903921964.0,-22872247852.0,-28121799389.0
4,Lãi gộp,4630196059.0,5620192459.0,4852462580.0,5045168470.0,4387079321.0,3181369050.0,6475314561.0
5,Thu nhập tài chính,8163516.0,8014484.0,2342189.0,372738451.0,296388768.0,540273213.0,497804973.0
6,Chi phí tài chính,-563227513.0,-728175463.0,-709780138.0,-1019536046.0,-941144651.0,-1045917682.0,-3120025493.0
7,Trong đó: Chi phí lãi vay,0.0,0.0,0.0,-987981870.0,-924167581.0,-1040425005.0,-1107453223.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-1649019729.0,-1359199404.0,-1432985089.0,-1365180581.0,-919495829.0,-459855095.0,-602363062.0
10,Chi phí quản lý doanh  nghiệp,-1112012500.0,-1476545694.0,-1458593349.0,-1788252721.0,-1947468392.0,-1602237971.0,-1750908710.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,1314099833.0,2064286382.0,1253446193.0,1244937573.0,875359217.0,613631515.0,1499822269.0
12,Thu nhập khác,400000.0,2900000.0,782709702.0,6925000.0,3990000.0,2700000.0,194038182.0
13,Chi phí khác,0.0,-83351920.0,-782385192.0,0.0,-144472662.0,0.0,-1356473.0
14,"Thu nhập khác, ròng",400000.0,-80451920.0,324510.0,6925000.0,-140482662.0,2700000.0,192681709.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,1314499833.0,1983834462.0,1253770703.0,1251862573.0,734876555.0,616331515.0,1692503978.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-328624958.0,-445149366.0,-313442676.0,0.0,-131146573.0,0.0,-181914270.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-328624958.0,-445149366.0,-313442676.0,0.0,-131146573.0,0.0,-181914270.0
20,Lãi/(lỗ) thuần sau thuế,985874875.0,1538685096.0,940328027.0,1251862573.0,603729982.0,616331515.0,1510589708.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,985874875.0,1538685096.0,940328027.0,1251862573.0,603729982.0,616331515.0,1510589708.0
23,Lãi cơ bản trên cổ phiếu,0.0,0.0,0.0,313.0,97.0,154.0,351.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0
