,CHỈ TIÊU,Q1 2009,Q3 2009,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016
0,TỔNG TÀI SẢN,74971820292.0,105011438074.0,202803156676.0,188878273084.0,180389737111.0,155004632894.0,129409330706.0
1,TÀI SẢN NGẮN HẠN,56338444425.0,69530990260.0,169839208795.0,153142367684.0,146004833284.0,120710263487.0,99595955495.0
2,Tiền và tương đương tiền,1800833583.0,660313128.0,607328613.0,904516030.0,5594842659.0,1215428380.0,1754319444.0
3,Tiền,1800833583.0,660313128.0,607328613.0,904516030.0,5594842659.0,1215428380.0,1754319444.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,2439560354.0,12339970399.0,121964144530.0,118878858864.0,116072568585.0,88490621941.0,56884192248.0
10,Phải thu khách hàng,0.0,0.0,113063230907.0,109118639568.0,107901855835.0,79330368887.0,44430811807.0
11,Trả trước người bán,0.0,0.0,872436410.0,508998366.0,624463636.0,1182563226.0,1417553936.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,8100000000.0,7750000000.0,7750000000.0,7750000000.0,10797198872.0
15,Phải thu khác,2439560354.0,12339970399.0,1978065930.0,3398467694.0,1890760106.0,2322200820.0,2333138625.0
16,Dự phòng nợ khó đòi,0.0,0.0,-2049588717.0,-1897246764.0,-2094510992.0,-2094510992.0,-2094510992.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",50291406161.0,54618392196.0,47235608710.0,33325888502.0,23860504076.0,30526251320.0,40957443803.0
19,Hàng tồn kho,50291406161.0,54618392196.0,47235608710.0,33325888502.0,23860504076.0,30526251320.0,40957443803.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,1806644327.0,1912314537.0,32126942.0,33104288.0,476917964.0,477961846.0,0.0
22,Trả trước ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Thuế VAT phải thu,0.0,0.0,32126942.0,33104288.0,476917964.0,477961846.0,0.0
24,Phải thu thuế khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,1806644327.0,1912314537.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,18633375867.0,35480447814.0,32963947881.0,35735905400.0,34384903827.0,34294369407.0,29813375211.0
28,Phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,17109913583.0,32347667611.0,24205892314.0,22808236241.0,25141015146.0,23676314937.0,24914633331.0
37,GTCL TSCĐ hữu hình,14450912540.0,29207513784.0,24155892316.0,22763236244.0,25101015150.0,23641314942.0,24884633337.0
38,Nguyên giá TSCĐ hữu hình,14450912540.0,29207513784.0,67019191954.0,67019191954.0,70120759871.0,70120759871.0,72305426675.0
39,Khấu hao lũy kế TSCĐ hữu hình,0.0,0.0,-42863299638.0,-44255955710.0,-45019744721.0,-46479444929.0,-47420793338.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,300000000.0,300000000.0,49999998.0,44999997.0,39999996.0,34999995.0,29999994.0
44,Nguyên giá TSCĐ vô hình,300000000.0,300000000.0,60000000.0,60000000.0,60000000.0,60000000.0,60000000.0
45,Khấu hao lũy kế TSCĐ vô hình,0.0,0.0,-10000002.0,-15000003.0,-20000004.0,-25000005.0,-30000006.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,0.0,0.0,6932880597.0,11072729417.0,6975977180.0,7876951673.0,2365468674.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Xây dựng cơ bản dở dang,2359001043.0,2840153827.0,0.0,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Đầu tư dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Tài sản dài hạn khác,1523462284.0,3132780203.0,1825174970.0,1854939742.0,2267911501.0,2741102797.0,2533273206.0
59,Trả trước dài hạn,0.0,0.0,1825174970.0,1854939742.0,2267911501.0,2741102797.0,2533273206.0
60,Thuế thu nhập hoãn lại phải thu,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Các tài sản dài hạn khác,1523462284.0,3132780203.0,0.0,0.0,0.0,0.0,0.0
63,Lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,52544607460.0,79186281800.0,155056648120.0,140077539840.0,130787636000.0,104786200268.0,77904108372.0
65,Nợ ngắn hạn,52524607460.0,77000990900.0,154515148120.0,137999389840.0,128499486000.0,102120240278.0,77504108372.0
66,Phải trả người bán,0.0,0.0,72308761717.0,54738338490.0,54117610503.0,19606382649.0,11843348306.0
67,Người mua trả tiền trước,0.0,0.0,24770902797.0,23442018603.0,16138534731.0,17792768859.0,4309292802.0
68,Thuế và các khoản phải trả Nhà nước,0.0,0.0,1707724388.0,2729619345.0,3215281249.0,350998621.0,461600443.0
69,Phải trả người lao động,0.0,0.0,5343072560.0,5934309491.0,3576547161.0,3166238810.0,3515171381.0
70,Chi phí phải trả,0.0,0.0,345465659.0,254980445.0,187654352.0,81000000.0,25000000.0
71,Phải trả nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Phải trả về xây dựng cơ bản,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Doanh thu chưa thực hiện ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Phải trả khác,52524607460.0,77000990900.0,2986025205.0,2128053777.0,2474211552.0,2195683254.0,1515604502.0
75,Vay ngắn hạn,0.0,0.0,45423440828.0,47144314723.0,47194891486.0,57332413119.0,54240335972.0
76,Dự phòng các khoản phải trả ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,"Quỹ khen thưởng, phúc lợi",0.0,0.0,1629754966.0,1627754966.0,1594754966.0,1594754966.0,1593754966.0
78,Quỹ bình ổn giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Nợ dài hạn,20000000.0,2185290900.0,541500000.0,2078150000.0,2288150000.0,2665959990.0,400000000.0
81,Phải trả nhà cung cấp dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Người mua trả tiền trước dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Chi phí phải trả dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Phải trả nội bộ về vốn kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Phải trả nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Doanh thu chưa thực hiên,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Phải trả dài hạn khác,20000000.0,2185290900.0,0.0,0.0,0.0,0.0,0.0
88,Vay dài hạn,0.0,0.0,541500000.0,2078150000.0,2288150000.0,2665959990.0,400000000.0
89,Trái phiếu chuyển đổi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Thuế thu nhập hoãn lại phải trả,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Dự phòng trợ cấp thôi việc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,Dự phòng các khoản công nợ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,Quỹ phát triển khoa học công nghệ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,VỐN CHỦ SỞ HỮU,22427212832.0,25825156274.0,47746508556.0,48800733244.0,49602101111.0,50218432626.0,51505222334.0
96,Vốn và các quỹ,22219139225.0,25457356015.0,47746508556.0,48800733244.0,49602101111.0,50218432626.0,51505222334.0
97,Vốn góp,20667500000.0,21500000000.0,40000000000.0,40000000000.0,40000000000.0,40000000000.0,40000000000.0
98,Cổ phiếu phổ thông,20667500000.0,21500000000.0,40000000000.0,40000000000.0,40000000000.0,40000000000.0,40000000000.0
99,Cổ phiếu ưu đãi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,Thặng dư vốn cổ phần,0.0,0.0,3634000000.0,3634000000.0,3634000000.0,3634000000.0,3634000000.0
101,Quyền chọn chuyển đổi trái phiếu,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,Vốn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,Cổ phiếu Quỹ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,Chênh lệch đánh giá lại tài sản,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,Chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,Quỹ đầu tư và phát triển,447277546.0,447277546.0,5604205371.0,5604205371.0,5604205371.0,5604205371.0,5604205371.0
107,Quỹ hỗ trợ sắp xếp doanh nghiệp,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,Quỹ dự phòng tài chính,118486804.0,118486804.0,0.0,0.0,0.0,0.0,0.0
109,Quỹ khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,Lãi chưa phân phối,985874875.0,3391591665.0,-1491696815.0,-437472127.0,363895740.0,980227255.0,2267016963.0
111,LNST chưa phân phối lũy kế đến cuối kỳ trước,0.0,0.0,-3942158874.0,-4139796759.0,-3942158874.0,363895740.0,140095740.0
112,LNST chưa phân phối kỳ này,985874875.0,3391591665.0,2450462059.0,3702324632.0,4306054614.0,616331515.0,2126921223.0
113,Lợi ích cổ đông không kiểm soát,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,Vốn Ngân sách nhà nước và quỹ khác,208073607.0,367800259.0,0.0,0.0,0.0,0.0,0.0
115,"Quỹ khen thưởng, phúc lợi (trước 2010)",208073607.0,367800259.0,0.0,0.0,0.0,0.0,0.0
116,Vốn ngân sách nhà nước,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,Nguồn kinh phí đã hình thành TSCĐ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,TỔNG CỘNG NGUỒN VỐN,74971820292.0,105011438074.0,202803156676.0,188878273084.0,180389737111.0,155004632894.0,129409330706.0
