,CHỈ TIÊU,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,810425098909.0,691597985862.0,852266430681.0,945916759460.0,528166496344.0,528488273887.0,605792660461.0,552438249106.0
1,TÀI SẢN NGẮN HẠN,621049886213.0,465329935064.0,593866567805.0,683956149485.0,263023258443.0,293089157181.0,386098718053.0,345362465140.0
2,Tiền và tương đương tiền,145435569269.0,23844073898.0,75505746726.0,35146809670.0,26914848405.0,57713539176.0,126863440321.0,111060205926.0
3,Tiền,145435569269.0,23844073898.0,75505746726.0,32646809670.0,26914848405.0,51713539176.0,120863440321.0,108060205926.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,2500000000.0,0.0,6000000000.0,6000000000.0,3000000000.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5121893295.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5121893295.0
9,Các khoản phải thu,244290139597.0,204338617629.0,248585091639.0,347444063040.0,67252050138.0,32901261083.0,44460831017.0,49781663646.0
10,Phải thu khách hàng,202950848852.0,147031212811.0,229754222347.0,328184874540.0,51907212254.0,29653329855.0,47441900218.0,63122947770.0
11,Trả trước người bán,33518714478.0,37745015780.0,8116054525.0,8946652223.0,1410254394.0,1550061785.0,11785075313.0,282145644.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,8064909520.0,19562389038.0,10714814767.0,10312536277.0,18753304976.0,7686604231.0,771131356.0,164323376.0
16,Dự phòng nợ khó đòi,-244333253.0,0.0,0.0,0.0,-4818721486.0,-5988734788.0,-15537275870.0,-13787753144.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",231130093086.0,234191471216.0,269200938934.0,300889293663.0,164444856781.0,194203969358.0,205623415184.0,171507979746.0
19,Hàng tồn kho,236534253133.0,239164305326.0,269223304412.0,300942281394.0,164507756851.0,207756766178.0,220472120007.0,180155533255.0
20,Dự phòng giảm giá HTK,-5404160047.0,-4972834110.0,-22365478.0,-52987731.0,-62900070.0,-13552796820.0,-14848704823.0,-8647553509.0
21,Tài sản lưu động khác,194084261.0,2955772321.0,574790506.0,475983112.0,4411503119.0,8270387564.0,9151031531.0,7890722527.0
22,Trả trước ngắn hạn,0.0,2955772321.0,574790506.0,475983112.0,332170762.0,568401092.0,590919521.0,1814520539.0
23,Thuế VAT phải thu,182340258.0,0.0,0.0,0.0,1975106697.0,7700931491.0,8521827032.0,4671732252.0
24,Phải thu thuế khác,11744003.0,0.0,0.0,0.0,2104225660.0,1054981.0,38284978.0,1404469736.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,189375212696.0,226268050798.0,258399862876.0,261960609975.0,265143237901.0,235399116706.0,219693942408.0,207075783966.0
28,Phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,134637060110.0,194071909575.0,211192787785.0,224683225515.0,253440323688.0,228295704981.0,214365229353.0,191472609463.0
37,GTCL TSCĐ hữu hình,132455544059.0,188584593232.0,205698047750.0,219330613336.0,248049775141.0,222982870064.0,202660555395.0,180043542457.0
38,Nguyên giá TSCĐ hữu hình,343503897418.0,416758012088.0,373014087058.0,407997371914.0,458055604487.0,449207943771.0,464643856096.0,468005294273.0
39,Khấu hao lũy kế TSCĐ hữu hình,-211048353359.0,-228173418856.0,-167316039308.0,-188666758578.0,-210005829346.0,-226225073707.0,-261983300701.0,-287961751816.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,2181516051.0,5487316343.0,5494740035.0,5352612179.0,5390548547.0,5312834917.0,11704673958.0,11429067006.0
44,Nguyên giá TSCĐ vô hình,8563436916.0,12155336916.0,11723477708.0,11671306347.0,11809006347.0,11859006347.0,12526806347.0,12526806347.0
45,Khấu hao lũy kế TSCĐ vô hình,-6381920865.0,-6668020573.0,-6228737673.0,-6318694168.0,-6418457800.0,-6546171430.0,-822132389.0,-1097739341.0
