,CHỈ TIÊU,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,541295417756.0,607944691445.0,418293386386.0,544179443386.0,515665944231.0,743860016110.0,643819312251.0
1,TÀI SẢN NGẮN HẠN,517481706984.0,579858489277.0,398805109055.0,518890440067.0,469127364591.0,552481473288.0,468480407358.0
2,Tiền và tương đương tiền,366518055701.0,423083157288.0,193657778658.0,284401177009.0,136142450572.0,92920150854.0,81875689633.0
3,Tiền,166518055701.0,317439757288.0,107416137492.0,94359535843.0,85566380941.0,42920150854.0,51082237578.0
4,Các khoản tương đương tiền,200000000000.0,105643400000.0,86241641166.0,190041641166.0,50576069631.0,50000000000.0,30793452055.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,90000000000.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,90000000000.0,0.0,0.0
9,Các khoản phải thu,31407910649.0,40170790863.0,25584112769.0,32023660643.0,107297554209.0,234515242246.0,223770681197.0
10,Phải thu khách hàng,30930067449.0,35261646031.0,24607342790.0,29760679921.0,57838526630.0,159564979283.0,200661813657.0
11,Trả trước người bán,1646323000.0,2202993670.0,663461458.0,488630241.0,118250000.0,207892065.0,5257011200.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,2088116868.0,4966334538.0,622653981.0,1774350481.0,52808777579.0,74742370898.0,17851856340.0
16,Dự phòng nợ khó đòi,-3256596668.0,-2260183376.0,-309345460.0,0.0,-3468000000.0,0.0,0.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",115987017413.0,110645170528.0,174146188337.0,193937160304.0,134155828819.0,210549847900.0,157474018326.0
19,Hàng tồn kho,115987017413.0,110645170528.0,174146188337.0,193937160304.0,134155828819.0,210549847900.0,161884063326.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,-4410045000.0
21,Tài sản lưu động khác,3568723221.0,5959370598.0,5417029291.0,8528442111.0,1531530991.0,14496232288.0,5360018202.0
22,Trả trước ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Thuế VAT phải thu,3568723221.0,4167896234.0,4818063758.0,7306665514.0,1374618924.0,14496232288.0,5360018202.0
24,Phải thu thuế khác,0.0,1791474364.0,598965533.0,1221776597.0,156912067.0,0.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,23813710772.0,28086202168.0,19488277331.0,25289003319.0,46538579640.0,191378542822.0,175338904893.0
28,Phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,21865554572.0,26138045968.0,19488277331.0,25289003319.0,43996415070.0,190152110068.0,171526873601.0
37,GTCL TSCĐ hữu hình,21865554572.0,26138045968.0,19488277331.0,25289003319.0,43996415070.0,190152110068.0,171526873601.0
38,Nguyên giá TSCĐ hữu hình,116642540847.0,126829998016.0,114839116553.0,128807252371.0,150428579928.0,360096185315.0,379245001718.0
39,Khấu hao lũy kế TSCĐ hữu hình,-94776986275.0,-100691952048.0,-95350839222.0,-103518249052.0,-106432164858.0,-169944075247.0,-207718128117.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Nguyên giá TSCĐ vô hình,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Khấu hao lũy kế TSCĐ vô hình,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Xây dựng cơ bản dở dang,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Đầu tư dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0
