,CHỈ TIÊU,2009,2010,2011,2012
0,Doanh số,16822854600.0,44419492055.0,75265130738.0,56648119095.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0
2,Doanh số thuần,16822854600.0,44419492055.0,75265130738.0,56648119095.0
3,Giá vốn hàng bán,-11774995408.0,-39472531809.0,-69175670080.0,-54828591170.0
4,Lãi gộp,5047859192.0,4946960246.0,6089460658.0,1819527925.0
5,Thu nhập tài chính,5025356.0,6172420.0,2109130429.0,3063703224.0
6,Chi phí tài chính,-384398609.0,-893853376.0,-648921903.0,-581244984.0
7,Trong đó: Chi phí lãi vay,-384398609.0,-893853376.0,-431881236.0,-581244984.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-992621464.0,-759426304.0,-931047594.0,-454469194.0
10,Chi phí quản lý doanh  nghiệp,-1488932197.0,-821155843.0,-1248641458.0,-962954843.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,2186932278.0,2478697143.0,5369980132.0,2884562128.0
12,Thu nhập khác,0.0,0.0,148922064.0,412293323.0
13,Chi phí khác,0.0,0.0,-286887827.0,-860025175.0
14,"Thu nhập khác, ròng",0.0,0.0,-137965763.0,-447731852.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,2186932278.0,2478697143.0,5232014369.0,2436830276.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,-154325839.0,-1110738607.0,-539457589.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0,-154325839.0,-1110738607.0,-539457589.0
20,Lãi/(lỗ) thuần sau thuế,2186932278.0,2324371304.0,4121275762.0,1897372687.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,2186932278.0,2324371304.0,4121275762.0,1897372687.0
23,Lãi cơ bản trên cổ phiếu,1082.0,729.0,1207.0,555.62
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0
