,CHỈ TIÊU,2009,2010,2011,2012
0,TỔNG TÀI SẢN,36210858903.0,46540983099.0,55287662924.0,70936118518.0
1,TÀI SẢN NGẮN HẠN,25430406944.0,29868587879.0,47549322780.0,53775879955.0
2,Tiền và tương đương tiền,334416766.0,1431315396.0,7332583845.0,2835171274.0
3,Tiền,334416766.0,1431315396.0,7332583845.0,2835171274.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0
9,Các khoản phải thu,18038438493.0,23695443761.0,22005249539.0,32800005326.0
10,Phải thu khách hàng,17937139175.0,22382585803.0,21670749539.0,23859240915.0
11,Trả trước người bán,55157360.0,1252805000.0,334500000.0,8940764411.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0
15,Phải thu khác,46141958.0,60052958.0,0.0,0.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0,0.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",6599841145.0,4323530889.0,17619154148.0,18043323578.0
19,Hàng tồn kho,6599841145.0,4323530889.0,17619154148.0,18043323578.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,457710540.0,418297833.0,592335248.0,97379777.0
22,Trả trước ngắn hạn,0.0,0.0,0.0,0.0
23,Thuế VAT phải thu,457710540.0,418297833.0,0.0,97379777.0
24,Phải thu thuế khác,0.0,0.0,592335248.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,10780451959.0,16672395220.0,7738340144.0,17160238563.0
28,Phải thu dài hạn,0.0,0.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0
36,Tài sản cố định,8280451959.0,8047395220.0,7738340144.0,6138330338.0
37,GTCL TSCĐ hữu hình,3898327275.0,3665270536.0,3356215460.0,2890133654.0
38,Nguyên giá TSCĐ hữu hình,4584087799.0,4584087799.0,4356265288.0,3944449833.0
