,Unnamed: 0,2009,2010,2011,2012
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,2246062593.0,-5588435690.0,-2120715287.0,392959868.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,2901512225.0,3599434838.0,4065775983.0,133891672.0
2,Lãi trước thuế,2186932278.0,2478697143.0,5232014369.0,2436830276.0
3,Khấu hao TSCĐ,335206694.0,233056739.0,225439737.0,199080541.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,0.0,0.0,0.0,0.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,211392982.0,0.0
7,Lãi/(lỗ) từ thanh lý tài sản cố định,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-5025356.0,-6172420.0,-2034952341.0,-3083264129.0
9,Chi phí lãi vay,384398609.0,893853376.0,431881236.0,581244984.0
10,Thu lãi và cổ tức,0.0,0.0,0.0,0.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,-9423701402.0,-5657005268.0,1516156807.0,-10299800316.0
13,(Tăng)/giảm hàng tồn kho,-4195847402.0,2276310256.0,-13295623259.0,-424169430.0
14,Tăng/(giảm) các khoản phải trả,13378240508.0,-4952734847.0,7253099941.0,10548731786.0
15,( Tăng)/giảm chi phí trả trước,-29742727.0,-893853376.0,0.0,-1021908226.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-384398609.0,0.0,-405839706.0,-581244984.0
18,Thuế thu nhập doanh nghiệp đã trả,0.0,0.0,0.0,-1265776000.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,0.0,3303235366.0
20,Tiền chi khác từ các hoạt động kinh doanh,0.0,39412707.0,-1254285053.0,0.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-2924053735.0,-6118827580.0,10649679614.0,-6973121317.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-429079091.0,0.0,-10272727.0,-17263636.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,0.0,-49188402.0,-19560905.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,8625000000.0,0.0
26,Đầu tư vào các doanh nghiệp khác,-2500000000.0,-8625000000.0,0.0,-10000000000.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,2500000000.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,5025356.0,6172420.0,2084140743.0,3063703224.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-301616196.0,12804161900.0,-2627695878.0,2082748878.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,13943104900.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,6230000000.0,15114890000.0,3208457174.0,9000000000.0
33,Tiển trả các khoản đi vay,-6531616196.0,0.0,-5836153052.0,-6917251122.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,0.0,-16253833000.0,0.0,0.0
36,Tiền lãi đã nhận,0.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,-979607338.0,1096898630.0,5901268449.0,-4497412571.0
38,Tiền và tương đương tiền đầu kỳ,1314024104.0,334416766.0,1431315396.0,7332583845.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,334416766.0,1431315396.0,7332583845.0,2835171274.0
