,CHỈ TIÊU,2020,2021,2022
0,TỔNG TÀI SẢN,432303999285.0,370503776637.0,441413831071.0
1,TÀI SẢN NGẮN HẠN,183207669945.0,141443788594.0,216903629753.0
2,Tiền và tương đương tiền,100571299.0,7020346434.0,56681606291.0
3,Tiền,100571299.0,7020346434.0,16681606291.0
4,Các khoản tương đương tiền,0.0,0.0,40000000000.0
5,Giá trị thuần đầu tư ngắn hạn,860000000.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,860000000.0,0.0,0.0
9,Các khoản phải thu,115836742894.0,76636646038.0,42271920605.0
10,Phải thu khách hàng,114715429327.0,67373376560.0,38083016258.0
11,Trả trước người bán,1107459320.0,8862364136.0,4066794097.0
12,Phải thu nội bộ,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0
15,Phải thu khác,13854247.0,400905342.0,122110250.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",53779662627.0,53914714398.0,114851774642.0
19,Hàng tồn kho,53779662627.0,53914714398.0,114851774642.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0
21,Tài sản lưu động khác,12630693125.0,3872081724.0,3098328215.0
22,Trả trước ngắn hạn,432732540.0,782188662.0,141103709.0
23,Thuế VAT phải thu,12195558485.0,3089893062.0,2873670314.0
24,Phải thu thuế khác,2402100.0,0.0,83554192.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,249096329340.0,229059988043.0,224510201318.0
28,Phải thu dài hạn,2462370000.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0
34,Phải thu dài hạn khác,2462370000.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0
36,Tài sản cố định,241224386720.0,220538721146.0,199101244439.0
37,GTCL TSCĐ hữu hình,241064679670.0,220419567700.0,199022644597.0
38,Nguyên giá TSCĐ hữu hình,267818832873.0,268932629328.0,269473829328.0
39,Khấu hao lũy kế TSCĐ hữu hình,-26754153203.0,-48513061628.0,-70451184731.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,159707050.0,119153446.0,78599842.0
44,Nguyên giá TSCĐ vô hình,202768000.0,202768000.0,202768000.0
45,Khấu hao lũy kế TSCĐ vô hình,-43060950.0,-83614554.0,-124168158.0
46,Bất động sản đầu tư,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,182435000.0,0.0,20386328358.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0
52,Đầu tư dài hạn,0.0,0.0,0.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,0.0,0.0,0.0
55,Đầu tư dài hạn khác,0.0,0.0,0.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0
58,Tài sản dài hạn khác,5227137620.0,8521266897.0,5022628521.0
59,Trả trước dài hạn,5227137620.0,8521266897.0,5022628521.0
60,Thuế thu nhập hoãn lại phải thu,0.0,0.0,0.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0
62,Các tài sản dài hạn khác,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,287789100069.0,214301598696.0,158724941778.0
65,Nợ ngắn hạn,148459107426.0,112194817381.0,79118160464.0
66,Phải trả người bán,48580736629.0,7805116841.0,353312165.0
67,Người mua trả tiền trước,1644454760.0,113562047.0,3913808992.0
68,Thuế và các khoản phải trả Nhà nước,1240133037.0,2799295657.0,298033454.0
69,Phải trả người lao động,1336265358.0,2518235171.0,446291886.0
70,Chi phí phải trả,277034800.0,223221830.0,270744901.0
71,Phải trả nội bộ,0.0,0.0,0.0
72,Phải trả về xây dựng cơ bản,0.0,0.0,0.0
73,Doanh thu chưa thực hiện ngắn hạn,0.0,0.0,0.0
74,Phải trả khác,11640000.0,0.0,0.0
75,Vay ngắn hạn,95368842842.0,98735385835.0,73835969066.0
76,Dự phòng các khoản phải trả ngắn hạn,0.0,0.0,0.0
77,"Quỹ khen thưởng, phúc lợi",0.0,0.0,0.0
78,Quỹ bình ổn giá,0.0,0.0,0.0
79,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0
80,Nợ dài hạn,139329992643.0,102106781315.0,79606781314.0
81,Phải trả nhà cung cấp dài hạn,0.0,0.0,0.0
82,Người mua trả tiền trước dài hạn,0.0,0.0,0.0
83,Chi phí phải trả dài hạn,0.0,0.0,0.0
84,Phải trả nội bộ về vốn kinh doanh,0.0,0.0,0.0
85,Phải trả nội bộ dài hạn,0.0,0.0,0.0
86,Doanh thu chưa thực hiên,0.0,0.0,0.0
87,Phải trả dài hạn khác,0.0,0.0,0.0
88,Vay dài hạn,139329992643.0,102106781315.0,79606781314.0
89,Trái phiếu chuyển đổi,0.0,0.0,0.0
91,Thuế thu nhập hoãn lại phải trả,0.0,0.0,0.0
93,Dự phòng các khoản công nợ dài hạn,0.0,0.0,0.0
94,Quỹ phát triển khoa học công nghệ,0.0,0.0,0.0
95,VỐN CHỦ SỞ HỮU,144514899216.0,156202177941.0,282688889293.0
96,Vốn và các quỹ,144514899216.0,156202177941.0,282688889293.0
97,Vốn góp,129000000000.0,129000000000.0,276059080000.0
98,Cổ phiếu phổ thông,129000000000.0,129000000000.0,276059080000.0
99,Cổ phiếu ưu đãi,0.0,0.0,0.0
100,Thặng dư vốn cổ phần,0.0,0.0,-156863636.0
101,Quyền chọn chuyển đổi trái phiếu,0.0,0.0,0.0
102,Vốn khác,0.0,0.0,0.0
103,Cổ phiếu Quỹ,0.0,0.0,0.0
104,Chênh lệch đánh giá lại tài sản,0.0,0.0,0.0
105,Chênh lệch tỷ giá,0.0,0.0,0.0
106,Quỹ đầu tư và phát triển,0.0,0.0,0.0
107,Quỹ hỗ trợ sắp xếp doanh nghiệp,0.0,0.0,0.0
109,Quỹ khác,0.0,0.0,0.0
110,Lãi chưa phân phối,15514899216.0,27202177941.0,6786672929.0
111,LNST chưa phân phối lũy kế đến cuối kỳ trước,10761899465.0,15514899216.0,9143097941.0
112,LNST chưa phân phối kỳ này,4752999751.0,11687278725.0,-2356425012.0
113,Lợi ích cổ đông không kiểm soát,0.0,0.0,0.0
114,Vốn Ngân sách nhà nước và quỹ khác,0.0,0.0,0.0
116,Vốn ngân sách nhà nước,0.0,0.0,0.0
117,Nguồn kinh phí đã hình thành TSCĐ,0.0,0.0,0.0
119,TỔNG CỘNG NGUỒN VỐN,432303999285.0,370503776637.0,441413831071.0
