,CHỈ TIÊU,2020,2021,2022
0,Doanh số,330490968794.0,436477960728.0,340366420420.0
1,Các khoản giảm trừ,-124740000.0,0.0,0.0
2,Doanh số thuần,330366228794.0,436477960728.0,340366420420.0
3,Giá vốn hàng bán,-302882976781.0,-394758007601.0,-312645751764.0
4,Lãi gộp,27483252013.0,41719953127.0,27720668656.0
5,Thu nhập tài chính,1380815799.0,3486630094.0,3029635679.0
6,Chi phí tài chính,-14509559907.0,-19899315563.0,-19811626101.0
7,Trong đó: Chi phí lãi vay,-13780220489.0,-18021501716.0,-16818534243.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0
9,Chi phí bán hàng,-2485322135.0,-5459389290.0,-2648487334.0
10,Chi phí quản lý doanh  nghiệp,-4076918166.0,-5219724246.0,-5112059367.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,7792267604.0,14628154122.0,3178131533.0
12,Thu nhập khác,896.0,86008702.0,5176.0
13,Chi phí khác,-1689455723.0,-35744233.0,-5109452423.0
14,"Thu nhập khác, ròng",-1689454827.0,50264469.0,-5109447247.0
16,Lãi/(lỗ) ròng trước thuế,6102812777.0,14678418591.0,-1931315714.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-1349813026.0,-2991139866.0,-425109298.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-1349813026.0,-2991139866.0,-425109298.0
20,Lãi/(lỗ) thuần sau thuế,4752999751.0,11687278725.0,-2356425012.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,4752999751.0,11687278725.0,-2356425012.0
23,Lãi cơ bản trên cổ phiếu,368.45,906.0,-106.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0
