,Unnamed: 0,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,17930737620.0,41223943880.0,-11615545147.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,35150464729.0,54908450659.0,36007694966.0
2,Lãi trước thuế,6102812777.0,14678418591.0,-1931315714.0
3,Khấu hao TSCĐ,15082945735.0,21799462029.0,21978676707.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0
5,Chi phí dự phòng,0.0,0.0,0.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,422426614.0,429319788.0,-123978047.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-237940886.0,-20251465.0,-734222223.0
9,Chi phí lãi vay,13780220489.0,18021501716.0,16818534243.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,-49479146148.0,50720811927.0,34594980491.0
13,(Tăng)/giảm hàng tồn kho,5684186306.0,-135051771.0,-60937060244.0
14,Tăng/(giảm) các khoản phải trả,44106337545.0,-41106861077.0,-5687358180.0
15,( Tăng)/giảm chi phí trả trước,-1638211809.0,-3643585399.0,4139723329.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-13715874183.0,-18075314686.0,-16771011172.0
18,Thuế thu nhập doanh nghiệp đã trả,-2177018820.0,-1444505773.0,-2962514337.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,0.0,0.0,0.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-106537022462.0,-37255743.0,-20193306135.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-106151109101.0,-931361455.0,-20927528358.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,-610000000.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,860000000.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,224086639.0,34105712.0,734222223.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,71233672822.0,-34260860194.0,81471636594.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,128843136364.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,302547565533.0,412808656213.0,288700440340.0
33,Tiển trả các khoản đi vay,-231313892711.0,-447069516407.0,-336071940110.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0
35,Cổ tức đã trả,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,-17372612020.0,6925827943.0,49662785312.0
38,Tiền và tương đương tiền đầu kỳ,17472232011.0,100571299.0,7020346434.0
39,Ảnh hưởng của chênh lệch tỷ giá,951308.0,-6052808.0,-1525455.0
40,Tiền và tương đương tiền cuối kỳ,100571299.0,7020346434.0,56681606291.0
