,Unnamed: 0,2015,2016,2017,2018,2019,2020,2021
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,16503339456.0,16758744681.0,1789597122.0,-10613788153.0,49233965495.0,56768632166.0,17345972.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-1630003513.0,-2826639064.0,1925498141.0,23422888973.0,-3584756159.0,-37606801341.0,-16516605186.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-3063516969.0,-4794350473.0,-458393751.0,-583380334.0,-5353951264.0,-10264692336.0,-18215351875.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,247465909.0,259545454.0,0.0,0.0,86909091.0,14545455.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0,-16001000000.0,-30000000000.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,21509968177.0,15823716703.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,1433513456.0,1720245500.0,2124346438.0,2496301130.0,1946478402.0,2570981904.0,1684201234.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-5814195306.0,-10067392520.0,-10052592520.0,-10336968720.0,-8900961522.0,-2179356000.0,-4992671538.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Tiển trả các khoản đi vay,-5814195306.0,-6916392520.0,-6916392520.0,-6916392520.0,-6916392522.0,0.0,0.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,0.0,-3151000000.0,-3136200000.0,-3420576200.0,-1984569000.0,-2179356000.0,-4992671538.0
37,Lưu chuyển tiền thuần trong kỳ,9059140637.0,3864713097.0,-6337497257.0,2472132100.0,36748247814.0,16982474825.0,-21491930752.0
38,Tiền và tương đương tiền đầu kỳ,46136721421.0,55186931161.0,59053022685.0,52716886925.0,55189114608.0,91997818831.0,110012095332.0
39,Ảnh hưởng của chênh lệch tỷ giá,-8930897.0,1378427.0,1361497.0,95583.0,60456409.0,1031801676.0,-602864228.0
40,Tiền và tương đương tiền cuối kỳ,55186931161.0,59053022685.0,52716886925.0,55189114608.0,91997818831.0,110012095332.0,87917300352.0
