,CHỈ TIÊU,Q1 2008,Q2 2008,Q3 2008,Q1 2009,Q2 2009,Q3 2009,Q2 2010,Q1 2015
0,Doanh số,13386041289.0,25897396386.0,27083989191.0,9877026363.0,17456308998.0,14959529076.0,11868264485.0,18162549918.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,13386041289.0,25897396386.0,27083989191.0,9877026363.0,17456308998.0,14959529076.0,11868264485.0,18162549918.0
3,Giá vốn hàng bán,-10034090907.0,-15023930543.0,-16705551624.0,-6959399074.0,-13537990183.0,-11992218982.0,-9795231647.0,-12004235707.0
4,Lãi gộp,3351950382.0,10873465843.0,10378437567.0,2917627289.0,3918318815.0,2967310094.0,2073032838.0,6158314211.0
5,Thu nhập tài chính,60447944.0,225439522.0,497060804.0,189736528.0,221909600.0,135606436.0,550006410.0,4831272.0
6,Chi phí tài chính,-150580340.0,-126186009.0,-127740173.0,-119767941.0,-225666285.0,-77300124.0,-48078397.0,-8970000.0
7,Trong đó: Chi phí lãi vay,-133770000.0,-124215000.0,-115920000.0,-94500000.0,-85995000.0,-77280000.0,-47775000.0,-8970000.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Chi phí quản lý doanh  nghiệp,-1513180630.0,-2316337234.0,-2129011320.0,-1053213434.0,-2302992293.0,-2064658199.0,-1754377750.0,-1555426759.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,1748637356.0,8656382122.0,8618746878.0,1934382442.0,1611569837.0,960958207.0,820583101.0,4598748724.0
12,Thu nhập khác,194204262.0,11418182.0,736842.0,100000000.0,65220000.0,0.0,0.0,0.0
13,Chi phí khác,-71000000.0,0.0,0.0,-15135012.0,0.0,-789711669.0,0.0,0.0
14,"Thu nhập khác, ròng",123204262.0,11418182.0,736842.0,84864988.0,65220000.0,-789711669.0,0.0,0.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,1871841618.0,8667800304.0,8619483720.0,2019247430.0,1676789837.0,171246538.0,820583101.0,4598748724.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-262057827.0,-1213492043.0,-1206727721.0,-252405929.0,-209598730.0,-21405817.0,-205145775.0,-555064241.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-456660478.0
19,Chi phí thuế thu nhập doanh nghiệp,-262057827.0,-1213492043.0,-1206727721.0,-252405929.0,-209598730.0,-21405817.0,-205145775.0,-1011724719.0
20,Lãi/(lỗ) thuần sau thuế,1609783791.0,7454308261.0,7412755999.0,1766841501.0,1467191107.0,149840721.0,615437326.0,3587024005.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,1609783791.0,7454308261.0,7412755999.0,1766841501.0,1467191107.0,149840721.0,615437326.0,3587024005.0
23,Lãi cơ bản trên cổ phiếu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
