,CHỈ TIÊU,Q2 2014,Q1 2015,Q2 2016,Q2 2018
0,TỔNG TÀI SẢN,58778751538.0,57318181521.0,81073019432.0,101544567545.0
1,TÀI SẢN NGẮN HẠN,39655303407.0,25061462584.0,52482204915.0,79337489838.0
2,Tiền và tương đương tiền,3569195084.0,3879806008.0,33201285299.0,38719397166.0
3,Tiền,1569195084.0,3879806008.0,33201285299.0,0.0
4,Các khoản tương đương tiền,2000000000.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,26000000000.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0
9,Các khoản phải thu,29642455481.0,18806413460.0,16912070385.0,14107889916.0
10,Phải thu khách hàng,50510163182.0,54383021265.0,0.0,0.0
11,Trả trước người bán,10258543000.0,838680000.0,0.0,0.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0
15,Phải thu khác,2108074299.0,1788742195.0,16912070385.0,0.0
16,Dự phòng nợ khó đòi,-33234325000.0,-38204030000.0,0.0,0.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",3980654349.0,1895350374.0,1725676240.0,400549402.0
19,Hàng tồn kho,3980654349.0,1895350374.0,1725676240.0,0.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,2462998493.0,479892742.0,643172991.0,109653354.0
22,Trả trước ngắn hạn,0.0,0.0,0.0,0.0
23,Thuế VAT phải thu,100000.0,100000.0,0.0,0.0
24,Phải thu thuế khác,1116004957.0,168045924.0,0.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,1346893536.0,311746818.0,643172991.0,0.0
27,TÀI SẢN DÀI HẠN,19123448131.0,32256718937.0,28590814517.0,22190478613.0
28,Phải thu dài hạn,0.0,0.0,932585743.0,10000000.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,932585743.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0
36,Tài sản cố định,17965011162.0,32194793588.0,27658228774.0,22190478613.0
37,GTCL TSCĐ hữu hình,9174151631.0,23638070467.0,19220125765.0,10178409796.0
38,Nguyên giá TSCĐ hữu hình,67664560824.0,84131633980.0,84131633980.0,84131633980.0
39,Khấu hao lũy kế TSCĐ hữu hình,-58490409193.0,-60493563513.0,-64911508215.0,-73953224184.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,8690170747.0,8556723121.0,8438103009.0,12012068817.0
44,Nguyên giá TSCĐ vô hình,8704998261.0,8704998261.0,8704998261.0,12771593295.0
45,Khấu hao lũy kế TSCĐ vô hình,-14827514.0,-148275140.0,-266895252.0,-759524478.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,0.0,0.0,0.0,6599094.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0
51,Xây dựng cơ bản dở dang,100688784.0,0.0,0.0,0.0
52,Đầu tư dài hạn,0.0,0.0,0.0,0.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,0.0,0.0,0.0,0.0
55,Đầu tư dài hạn khác,0.0,0.0,0.0,0.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0
58,Tài sản dài hạn khác,1158436969.0,61925349.0,0.0,0.0
59,Trả trước dài hạn,385903337.0,61925349.0,0.0,0.0
60,Thuế thu nhập hoãn lại phải thu,772533632.0,0.0,0.0,0.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0,0.0
62,Các tài sản dài hạn khác,0.0,0.0,0.0,0.0
63,Lợi thế thương mại,0.0,0.0,0.0,0.0
