,CHỈ TIÊU,Q1 2010,Q2 2010,Q1 2011,Q2 2011,Q2 2012,Q2 2015,Q2 2016
0,TỔNG TÀI SẢN,280765506969.0,246405669207.0,190130863868.0,251561935138.0,248624269017.0,419243093133.0,256237736519.0
1,TÀI SẢN NGẮN HẠN,248753813798.0,213927685835.0,159065670110.0,221286720814.0,215828152587.0,392204677640.0,229015817004.0
2,Tiền và tương đương tiền,12720775866.0,20198036056.0,3618307988.0,13097547601.0,17133860495.0,42579699823.0,9949673629.0
3,Tiền,12720775866.0,20198036056.0,3618307988.0,13097547601.0,17133860495.0,2579699823.0,9949673629.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,40000000000.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,9000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,9000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,92135693736.0,80463581414.0,74067639959.0,131687937115.0,111558463331.0,270509607662.0,180420503181.0
10,Phải thu khách hàng,92529012982.0,86355103521.0,76337310248.0,138211421284.0,121996223771.0,301513126063.0,215602346795.0
11,Trả trước người bán,6138383133.0,684339947.0,4916989878.0,922964544.0,4058182640.0,13362421946.0,5977992294.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,926583726.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,651049891.0,601390216.0,611052454.0,351263908.0,0.0,3198842265.0,2216922469.0
16,Dự phòng nợ khó đòi,-7182752270.0,-7177252270.0,-7797712621.0,-7797712621.0,-15422526806.0,-47564782612.0,-43385881728.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,9123351.0
18,"Hàng tồn kho, ròng",120299449808.0,108114705489.0,75795441366.0,68974228620.0,80980433123.0,74653441927.0,35223780482.0
19,Hàng tồn kho,128190726592.0,116005982273.0,75795441366.0,68974228620.0,80980433123.0,80445138351.0,40249130482.0
20,Dự phòng giảm giá HTK,-7891276784.0,-7891276784.0,0.0,0.0,0.0,-5791696424.0,-5025350000.0
21,Tài sản lưu động khác,14597894388.0,5151362876.0,5584280797.0,7527007478.0,6155395638.0,4461928228.0,3421859712.0
22,Trả trước ngắn hạn,93500000.0,78000000.0,52000000.0,129987862.0,80000000.0,45006911.0,66844215.0
23,Thuế VAT phải thu,507929372.0,391626121.0,1359562277.0,3227111810.0,3214702789.0,4416921317.0,179426508.0
24,Phải thu thuế khác,49997121.0,134377758.0,14284768.0,0.0,0.0,0.0,3175588989.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,13946467895.0,4547358997.0,4158433752.0,4169907806.0,2860692849.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,32011693171.0,32477983372.0,31065193758.0,30275214324.0,32796116430.0,27038415493.0,27221919515.0
28,Phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,40000000.0,40000000.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0,0.0,0.0,40000000.0,40000000.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,19961795228.0,20280633795.0,18448302648.0,17757407443.0,20110741653.0,19968387064.0,19745364721.0
37,GTCL TSCĐ hữu hình,17687287665.0,18078168787.0,16375298641.0,15761445992.0,18422950426.0,19369747928.0,19227593721.0
38,Nguyên giá TSCĐ hữu hình,45464310151.0,46483570424.0,45957152332.0,45968515968.0,50106714410.0,57211683533.0,61317373733.0
39,Khấu hao lũy kế TSCĐ hữu hình,-27777022486.0,-28405401637.0,-29581853691.0,-30207069976.0,-31683763984.0,-37841935605.0,-42089780012.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,2153738537.0,2081695982.0,1952234981.0,1875192425.0,1567022201.0,598639136.0,517771000.0
44,Nguyên giá TSCĐ vô hình,3125379090.0,3125379090.0,3225379090.0,3225379090.0,3225379090.0,2454012340.0,2454012340.0
45,Khấu hao lũy kế TSCĐ vô hình,-971640553.0,-1043683108.0,-1273144109.0,-1350186665.0,-1658356889.0,-1855373204.0,-1936241340.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0
