,CHỈ TIÊU,Q1 2010,Q2 2010,Q1 2011,Q2 2011
0,Doanh số,201805762865.0,230280038320.0,443457403439.0,469972843289.0
1,Các khoản giảm trừ,0.0,0.0,0.0,-48884349.0
2,Doanh số thuần,201805762865.0,230280038320.0,443457403439.0,469923958940.0
3,Giá vốn hàng bán,-191080554972.0,-220402735459.0,-418649921426.0,-454542096595.0
4,Lãi gộp,10725207893.0,9877302861.0,24807482013.0,15381862345.0
5,Thu nhập tài chính,593057649.0,674267241.0,306051782.0,2232328643.0
6,Chi phí tài chính,-3437084120.0,-4293659744.0,-3248677872.0,-2868625807.0
7,Trong đó: Chi phí lãi vay,-3163144762.0,-4150447235.0,-2986358802.0,-2774533537.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-3911102179.0,-4150447235.0,-3949521697.0,-3701869049.0
10,Chi phí quản lý doanh  nghiệp,-2070146088.0,-1483290237.0,-6025710358.0,-5702715856.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,1899933155.0,624172886.0,11889623868.0,5340980276.0
12,Thu nhập khác,18212079.0,123593830.0,144502826.0,171178103.0
13,Chi phí khác,-15156167.0,-45549864.0,-131250070.0,-83647864.0
14,"Thu nhập khác, ròng",3055912.0,78043966.0,13252756.0,87530239.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,1902989067.0,702216852.0,11902876624.0,5428510515.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,0.0,0.0,-558325737.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0,0.0,0.0,-558325737.0
20,Lãi/(lỗ) thuần sau thuế,1902989067.0,702216852.0,11902876624.0,4870184778.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,1902989067.0,702216852.0,11902876624.0,4870184778.0
23,Lãi cơ bản trên cổ phiếu,0.0,0.0,0.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0
