,Unnamed: 0,Q1 2010,Q2 2010,Q1 2011,Q2 2011
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,-19012762354.0,34974508076.0,138374637922.0,-56930926055.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,5776303606.0,5419323907.0,15455691434.0,8861256475.0
2,Lãi trước thuế,1902989067.0,702216852.0,11902876624.0,5428510515.0
3,Khấu hao TSCĐ,710169777.0,719468706.0,707005190.0,702258841.0
5,Chi phí dự phòng,0.0,0.0,0.0,0.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,0.0
7,Lãi/(lỗ) từ thanh lý tài sản cố định,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,0.0,0.0,-140549182.0,-44046418.0
9,Chi phí lãi vay,3163144762.0,3997638349.0,2986358802.0,2774533537.0
10,Thu lãi và cổ tức,0.0,0.0,0.0,0.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,-59380755821.0,11672112322.0,21191979242.0,-59495035975.0
13,(Tăng)/giảm hàng tồn kho,-6015338192.0,12184744319.0,64632779864.0,6821212746.0
14,Tăng/(giảm) các khoản phải trả,43795641178.0,7948889.0,40235225615.0,-10496488131.0
15,( Tăng)/giảm chi phí trả trước,-37244956.0,-147451634.0,128612569.0,31096367.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-2897384762.0,-4213240328.0,-3269650802.0,-2652967537.0
18,Thuế thu nhập doanh nghiệp đã trả,0.0,0.0,0.0,0.0
19,Tiền thu khác từ các hoạt động kinh doanh,481540593.0,10561812333.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,-735524000.0,-510741732.0,0.0,0.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,22923061439.0,8820122844.0,51087819.0,32682782.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,0.0,-1038307273.0,-89461363.0,-11363636.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,0.0,68181818.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,-29000000000.0,-15000000000.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,51514166666.0,24000000000.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,408894773.0,858430117.0,72367364.0,44046418.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,6379973850.0,-36311419388.0,-137616878323.0,66377482886.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,103378106529.0,95851114969.0,96368135373.0,230706224376.0
33,Tiển trả các khoản đi vay,-94585187679.0,-132162534357.0,-233985013696.0,-164328741490.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,-2412945000.0,0.0,0.0,0.0
36,Tiền lãi đã nhận,0.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,10290272935.0,7483211532.0,808847418.0,9479239613.0
38,Tiền và tương đương tiền đầu kỳ,2430502931.0,12720775866.0,2809460570.0,3618307988.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,-5951342.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,12720775866.0,20198036056.0,3618307988.0,13097547601.0
