,CHỈ TIÊU,Q4 2012,Q4 2012.1,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014
0,Doanh số,27794753335.0,27794753335.0,2410122073.0,1788165601.0,1849976925.0,9087002775.0,1669990232.0,1722807230.0,1776881227.0,3768492962.0
1,Các khoản giảm trừ,-208365730.0,-208365730.0,-342801369.0,-265750644.0,-40886358.0,-112885468.0,-51030911.0,-7230909.0,-6192727.0,0.0
2,Doanh số thuần,27586387605.0,27586387605.0,2067320704.0,1522414957.0,1809090567.0,8974117307.0,1618959321.0,1715576321.0,1770688500.0,3768492962.0
3,Giá vốn hàng bán,-24725573967.0,-24725573967.0,-360699944.0,-373935806.0,-377487707.0,-6753700707.0,-381237202.0,-396052652.0,-180600247.0,-2725998392.0
4,Lãi gộp,2860813638.0,2860813638.0,1706620760.0,1148479151.0,1431602860.0,2220416600.0,1237722119.0,1319523669.0,1590088253.0,1042494570.0
5,Thu nhập tài chính,5139184.0,5139184.0,124737145.0,124694867.0,105175890.0,470381992.0,97748326.0,123427282.0,124790411.0,118478271.0
6,Chi phí tài chính,108281913.0,108281913.0,-177310676.0,-320713834.0,-162619143.0,-5955908890.0,-819778359.0,-1251128783.0,-815641441.0,-1446894144.0
7,Trong đó: Chi phí lãi vay,-38049962.0,-38049962.0,-117451864.0,-380572646.0,-123241141.0,-704481518.0,-758551958.0,-1312355184.0,-426314811.0,-1446894144.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-570171113.0,-570171113.0,-701822008.0,-553277700.0,-623366958.0,-947288775.0,-618373354.0,-568005394.0,-642957011.0,-793499604.0
10,Chi phí quản lý doanh  nghiệp,-1099764122.0,-1099764122.0,-1083728720.0,-672495782.0,-691386524.0,-3089183540.0,-473002763.0,-998722019.0,-636829844.0,-1007658892.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,1304299500.0,1304299500.0,-131503499.0,-273313298.0,59406125.0,-7301582613.0,-575684031.0,-1374905245.0,-380549632.0,-2087079799.0
12,Thu nhập khác,1983140462.0,1983140462.0,170156725.0,430034959.0,186311284.0,266675994.0,69733128.0,53913073.0,30018544.0,22013434.0
13,Chi phí khác,-1871448762.0,-1871448762.0,-22386312.0,-123800000.0,-226642699.0,-1834863235.0,-50885534.0,-2160886737.0,-204100061.0,-6177938355.0
14,"Thu nhập khác, ròng",111691700.0,111691700.0,147770413.0,306234959.0,-40331415.0,-1568187241.0,18847594.0,-2106973664.0,-174081517.0,-6155924921.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,1415991200.0,1415991200.0,16266914.0,32921661.0,19074710.0,-8869769854.0,-556836437.0,-3481878909.0,-554631149.0,-8243004720.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-353997800.0,-353997800.0,-4066729.0,4066729.0,0.0,0.0,0.0,0.0,0.0,1162840692.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-353997800.0,-353997800.0,-4066729.0,4066729.0,0.0,0.0,0.0,0.0,0.0,1162840692.0
20,Lãi/(lỗ) thuần sau thuế,1061993400.0,1061993400.0,12200185.0,36988390.0,19074710.0,-8869769854.0,-556836437.0,-3481878909.0,-554631149.0,-7080164028.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7463953.0,1371103.0,-13520106.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,1061993400.0,1061993400.0,12200185.0,36988390.0,19074710.0,-8869769854.0,-556836437.0,-3474414956.0,-556002252.0,-7066643922.0
23,Lãi cơ bản trên cổ phiếu,0.0,0.0,1.0,3.0,1.85,-858.04,-53.87,-336.0,-53.65,-797.41
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
