,CHỈ TIÊU,Q2 2013,Q3 2013
0,Doanh số,8300617926.0,6721689601.0
1,Các khoản giảm trừ,-620193031.0,-620775455.0
2,Doanh số thuần,7680424895.0,6100914146.0
3,Giá vốn hàng bán,-5830464571.0,-3950435938.0
4,Lãi gộp,1849960324.0,2150478208.0
5,Thu nhập tài chính,28347847.0,202411027.0
6,Chi phí tài chính,-235958445.0,0.0
7,Trong đó: Chi phí lãi vay,-235958445.0,0.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0
9,Chi phí bán hàng,-903436410.0,-793678083.0
10,Chi phí quản lý doanh  nghiệp,-881254330.0,-1281532827.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,-142341014.0,277678325.0
12,Thu nhập khác,746038085.0,20721363589.0
13,Chi phí khác,-3482016845.0,-200582034.0
14,"Thu nhập khác, ròng",-2735978760.0,20520781555.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,-2878319774.0,20798459880.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,-2468994030.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0,-2468994030.0
20,Lãi/(lỗ) thuần sau thuế,-2878319774.0,18329465850.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,-2878319774.0,18329465850.0
23,Lãi cơ bản trên cổ phiếu,0.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0
