,CHỈ TIÊU,Q2 2012,Q2 2013,Q3 2013
0,TỔNG TÀI SẢN,145584807295.0,204956951318.0,139726365244.0
1,TÀI SẢN NGẮN HẠN,12194709925.0,72195552899.0,65385498335.0
2,Tiền và tương đương tiền,1626389281.0,3366645440.0,3013838389.0
3,Tiền,1626389281.0,3366645440.0,3013838389.0
4,Các khoản tương đương tiền,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,28250000000.0,25250000000.0
6,Đầu tư ngắn hạn,0.0,28250000000.0,25250000000.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0
9,Các khoản phải thu,3645607981.0,34742535526.0,31540507577.0
10,Phải thu khách hàng,1978224955.0,1510764171.0,1151100165.0
11,Trả trước người bán,1640223026.0,285000000.0,285000000.0
12,Phải thu nội bộ,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0
15,Phải thu khác,27160000.0,32946771355.0,30104407412.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",6372458125.0,5361257766.0,4990819170.0
19,Hàng tồn kho,6372458125.0,5361257766.0,4990819170.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0
21,Tài sản lưu động khác,550254538.0,475114167.0,590333199.0
22,Trả trước ngắn hạn,31744029.0,27136710.0,203382860.0
23,Thuế VAT phải thu,216907276.0,244872852.0,232392044.0
24,Phải thu thuế khác,11420526.0,92307955.0,19588295.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0
26,Tài sản lưu động khác,290182707.0,110796650.0,134970000.0
27,TÀI SẢN DÀI HẠN,133390097370.0,132761398419.0,74340866909.0
28,Phải thu dài hạn,0.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0
36,Tài sản cố định,65927267392.0,67524913200.0,9090543131.0
37,GTCL TSCĐ hữu hình,10828084927.0,67524913200.0,9090543131.0
38,Nguyên giá TSCĐ hữu hình,21916799792.0,79376467656.0,21158045143.0
39,Khấu hao lũy kế TSCĐ hữu hình,-11088714865.0,-11851554456.0,-12067502012.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,225249984.0,0.0,0.0
44,Nguyên giá TSCĐ vô hình,441127273.0,129127273.0,129127273.0
45,Khấu hao lũy kế TSCĐ vô hình,-215877289.0,-129127273.0,-129127273.0
46,Bất động sản đầu tư,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,0.0,0.0,0.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0
51,Xây dựng cơ bản dở dang,54873932481.0,0.0,0.0
52,Đầu tư dài hạn,64622821897.0,64622821897.0,64622821897.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,64622821897.0,64622821897.0,64622821897.0
55,Đầu tư dài hạn khác,0.0,0.0,0.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0
58,Tài sản dài hạn khác,2840008081.0,613663322.0,627501881.0
59,Trả trước dài hạn,2585636441.0,613663322.0,627501881.0
60,Thuế thu nhập hoãn lại phải thu,0.0,0.0,0.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0
62,Các tài sản dài hạn khác,254371640.0,0.0,0.0
63,Lợi thế thương mại,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,119634425103.0,187089708255.0,103529656331.0
65,Nợ ngắn hạn,11490348337.0,120675320940.0,37892276721.0
66,Phải trả người bán,5740827313.0,7610368332.0,6439110998.0
67,Người mua trả tiền trước,47710400.0,78445400000.0,47710400.0
68,Thuế và các khoản phải trả Nhà nước,864435475.0,382563137.0,254783719.0
69,Phải trả người lao động,401214626.0,255692749.0,240901634.0
70,Chi phí phải trả,0.0,0.0,0.0
71,Phải trả nội bộ,0.0,0.0,0.0
72,Phải trả về xây dựng cơ bản,0.0,0.0,0.0
73,Doanh thu chưa thực hiện ngắn hạn,0.0,0.0,0.0
74,Phải trả khác,2708295360.0,33974820131.0,30905293379.0
75,Vay ngắn hạn,1704538572.0,0.0,0.0
76,Dự phòng các khoản phải trả ngắn hạn,0.0,0.0,0.0
77,"Quỹ khen thưởng, phúc lợi",23326591.0,6476591.0,4476591.0
78,Quỹ bình ổn giá,0.0,0.0,0.0
79,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0
80,Nợ dài hạn,108144076766.0,66414387315.0,65637379610.0
81,Phải trả nhà cung cấp dài hạn,0.0,0.0,0.0
82,Người mua trả tiền trước dài hạn,0.0,0.0,0.0
83,Chi phí phải trả dài hạn,0.0,0.0,0.0
84,Phải trả nội bộ về vốn kinh doanh,0.0,0.0,0.0
85,Phải trả nội bộ dài hạn,0.0,0.0,0.0
86,Doanh thu chưa thực hiên,2320866417.0,1769200927.0,994394927.0
87,Phải trả dài hạn khác,0.0,0.0,0.0
88,Vay dài hạn,105919414141.0,64622821897.0,64622821897.0
89,Trái phiếu chuyển đổi,0.0,0.0,0.0
91,Thuế thu nhập hoãn lại phải trả,0.0,0.0,0.0
92,Dự phòng trợ cấp thôi việc,-96203792.0,22364491.0,20162786.0
93,Dự phòng các khoản công nợ dài hạn,0.0,0.0,0.0
94,Quỹ phát triển khoa học công nghệ,0.0,0.0,0.0
95,VỐN CHỦ SỞ HỮU,25950382192.0,17867243063.0,36196708913.0
96,Vốn và các quỹ,25950382192.0,17867243063.0,36196708913.0
97,Vốn góp,29579000000.0,29579000000.0,29579000000.0
98,Cổ phiếu phổ thông,29579000000.0,29579000000.0,29579000000.0
99,Cổ phiếu ưu đãi,0.0,0.0,0.0
100,Thặng dư vốn cổ phần,-91210454.0,-91210454.0,-91210454.0
101,Quyền chọn chuyển đổi trái phiếu,0.0,0.0,0.0
102,Vốn khác,0.0,0.0,0.0
103,Cổ phiếu Quỹ,0.0,0.0,0.0
104,Chênh lệch đánh giá lại tài sản,0.0,0.0,0.0
105,Chênh lệch tỷ giá,0.0,0.0,0.0
106,Quỹ đầu tư và phát triển,547182109.0,547182109.0,547182109.0
107,Quỹ hỗ trợ sắp xếp doanh nghiệp,0.0,0.0,0.0
108,Quỹ dự phòng tài chính,106842625.0,106842624.0,106842625.0
109,Quỹ khác,0.0,0.0,0.0
110,Lãi chưa phân phối,-4191432088.0,-12274571216.0,6054894633.0
111,LNST chưa phân phối lũy kế đến cuối kỳ trước,0.0,0.0,0.0
112,LNST chưa phân phối kỳ này,-4191432088.0,-12274571216.0,6054894633.0
113,Lợi ích cổ đông không kiểm soát,0.0,0.0,0.0
114,Vốn Ngân sách nhà nước và quỹ khác,0.0,0.0,0.0
115,"Quỹ khen thưởng, phúc lợi (trước 2010)",0.0,0.0,0.0
116,Vốn ngân sách nhà nước,0.0,0.0,0.0
117,Nguồn kinh phí đã hình thành TSCĐ,0.0,0.0,0.0
118,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0
119,TỔNG CỘNG NGUỒN VỐN,145584807295.0,204956951318.0,139726365244.0
