,CHỈ TIÊU,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,2233231046926.0,2219320087927.0,2143233234088.0,2061376924461.0,1912010273705.0,1840850791705.0,1710047064367.0,1622517227403.0
1,TÀI SẢN NGẮN HẠN,63313512661.0,58665083613.0,73983184221.0,82828888164.0,31877891625.0,35886432104.0,24489439633.0,36387746553.0
2,Tiền và tương đương tiền,1197593239.0,627232038.0,1499653678.0,49685878257.0,1202905924.0,9866985511.0,1446361137.0,7669994770.0
3,Tiền,1197593239.0,627232038.0,1499653678.0,49685878257.0,1202905924.0,9866985511.0,1446361137.0,3369994770.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4300000000.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,7000000000.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,7000000000.0,0.0,0.0,0.0
9,Các khoản phải thu,62115919422.0,58037851575.0,72483530543.0,32871030515.0,21609954881.0,25559807571.0,22528637335.0,28286244002.0
10,Phải thu khách hàng,49099848028.0,42575174600.0,57754496821.0,16752231982.0,10856435972.0,15198499695.0,15272992043.0,10246051612.0
11,Trả trước người bán,8089564817.0,6977746110.0,5255236437.0,5308584637.0,5459152437.0,5831982437.0,5500132437.0,5738774537.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9000000000.0
15,Phải thu khác,4926506577.0,8484930865.0,9473797285.0,10810213896.0,5294366472.0,4529325439.0,1755512855.0,3301417853.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Hàng tồn kho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,0.0,0.0,0.0,271979392.0,2065030820.0,459639022.0,514441161.0,431507781.0
22,Trả trước ngắn hạn,0.0,0.0,0.0,0.0,2065030820.0,459639022.0,514441161.0,431507781.0
23,Thuế VAT phải thu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Phải thu thuế khác,0.0,0.0,0.0,271979392.0,0.0,0.0,0.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,2169917534265.0,2160655004314.0,2069250049867.0,1978548036297.0,1880132382080.0,1804964359601.0,1685557624734.0,1586129480850.0
28,Phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,2036373868218.0,2147353476711.0,2069013548129.0,1976722741004.0,1879161542316.0,1782197079876.0,1685368714404.0,1586096387517.0
37,GTCL TSCĐ hữu hình,2036373868218.0,2147353476711.0,2069013548129.0,1976722741004.0,1879161542316.0,1782197079876.0,1685368714404.0,1586096387517.0
38,Nguyên giá TSCĐ hữu hình,2360881505604.0,2569108438737.0,2589716833705.0,2597199491929.0,2599627955465.0,2602682512785.0,2606741917785.0,2608375997785.0
39,Khấu hao lũy kế TSCĐ hữu hình,-324507637386.0,-421754962026.0,-520703285576.0,-620476750925.0,-720466413149.0,-820485432909.0,-921373203381.0,-1022279610268.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Nguyên giá TSCĐ vô hình,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Khấu hao lũy kế TSCĐ vô hình,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
