,CHỈ TIÊU,2015,2016,2017,2018,2019,2020,2021,2022
0,Doanh số,268125057064.0,265925205840.0,329222107312.0,301093729832.0,207556006761.0,296171269275.0,265825456802.0,368712524675.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,268125057064.0,265925205840.0,329222107312.0,301093729832.0,207556006761.0,296171269275.0,265825456802.0,368712524675.0
3,Giá vốn hàng bán,-145802213480.0,-110023630042.0,-112736467645.0,-112363322163.0,-114999384303.0,-114789377699.0,-112840991595.0,-115379230636.0
4,Lãi gộp,122322843584.0,155901575798.0,216485639667.0,188730407669.0,92556622458.0,181381891576.0,152984465207.0,253333294039.0
5,Thu nhập tài chính,5038394984.0,830244736.0,16532527.0,696494893.0,403375136.0,386799627.0,453085599.0,506514412.0
6,Chi phí tài chính,-140090535205.0,-137765737258.0,-139622300687.0,-131399595025.0,-125224879474.0,-115019907338.0,-114917016520.0,-80988701862.0
7,Trong đó: Chi phí lãi vay,-14000280036.0,-137765737258.0,-138302252923.0,-130519477266.0,-124678143389.0,-114551277199.0,-92010528853.0,-80661411275.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Chi phí quản lý doanh  nghiệp,-8962236117.0,-8211482111.0,-9956552206.0,-9829381705.0,-8828349236.0,-5134771818.0,-6380247119.0,-8472476320.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,-21691532754.0,10754601165.0,66923319301.0,48197925832.0,-41093231116.0,61614012047.0,32140287167.0,164378630269.0
12,Thu nhập khác,73573454.0,39040655.0,183011179.0,53533815.0,58524232.0,417974844.0,404944875.0,6071500000.0
13,Chi phí khác,-28534748.0,-45824633.0,-3935112516.0,-5038941347.0,-14314496.0,-986234568.0,-3360245411.0,-2638490818.0
14,"Thu nhập khác, ròng",45038706.0,-6783978.0,-3752101337.0,-4985407532.0,44209736.0,-568259724.0,-2955300536.0,3433009182.0
16,Lãi/(lỗ) ròng trước thuế,-21646494048.0,10747817187.0,63171217964.0,43212518300.0,-41049021380.0,61045752323.0,29184986631.0,167811639451.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-44115600.0,0.0,0.0,-48020608.0,-777291194.0,-1012429354.0,-1627261603.0,-13607458267.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-44115600.0,0.0,0.0,-48020608.0,-777291194.0,-1012429354.0,-1627261603.0,-13607458267.0
20,Lãi/(lỗ) thuần sau thuế,-21690609648.0,10747817187.0,63171217964.0,43164497692.0,-41826312574.0,60033322969.0,27557725028.0,154204181184.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,-21690609648.0,10747817187.0,63171217964.0,43164497692.0,-41826312574.0,60033322969.0,27557725028.0,154204181184.0
23,Lãi cơ bản trên cổ phiếu,-334.0,165.0,972.0,658.0,-634.0,910.0,418.0,2319.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2319.0
