,CHỈ TIÊU,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q4 2022.1
0,Doanh số,1035900570219.0,1269606747959.0,1275670222238.0,1310882475775.0,1485634118446.0,1464235533462.0,1851042005590.0,1243820864302.0,2210085069386.0,2210085069386.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,1035900570219.0,1269606747959.0,1275670222238.0,1310882475775.0,1485634118446.0,1464235533462.0,1851042005590.0,1243820864302.0,2210085069386.0,2210085069386.0
3,Giá vốn hàng bán,-930580843062.0,-1175206888920.0,-1198702400934.0,-1219731715543.0,-1293768661862.0,-1384082469597.0,-1745061822554.0,-1188999026701.0,-1944825663574.0,-1944825663574.0
4,Lãi gộp,105319727157.0,94399859039.0,76967821304.0,91150760232.0,191865456584.0,80153063865.0,105980183036.0,54821837601.0,265259405812.0,265259405812.0
5,Thu nhập tài chính,297505137.0,308297847.0,319813608.0,330990833.0,324764646.0,340987310.0,337222219.0,345262753.0,384726240.0,384726240.0
6,Chi phí tài chính,-24087343420.0,-25248674100.0,-21893694513.0,-17061293672.0,-18188528090.0,-15607166140.0,-15564873023.0,-12288792718.0,-16796024094.0,-16796024094.0
7,Trong đó: Chi phí lãi vay,-24087343420.0,-25248674100.0,-21893694513.0,-17061293672.0,-18188528090.0,-15607166140.0,-15564873023.0,-12288792718.0,-16796024094.0,-16796024094.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-1904292067.0,-2510473572.0,-1477858845.0,-2268244182.0,-2083648213.0,-2064487362.0,-2221660025.0,-1844171356.0,-3442340890.0,-3442340890.0
10,Chi phí quản lý doanh  nghiệp,-52661382983.0,-51784629437.0,-42116950573.0,-51285363505.0,-86425623095.0,-48102133599.0,-51172085215.0,-48065985237.0,-59427620693.0,-59427620693.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,26964213824.0,15164379777.0,11799130981.0,20866849706.0,85492421832.0,14720264074.0,37358786992.0,-7031848957.0,185978146375.0,185978146375.0
12,Thu nhập khác,13851501.0,1626413.0,17723570.0,59323700.0,78998357.0,11326500.0,1278380240.0,4926258046.0,31614082.0,31614082.0
13,Chi phí khác,-26781540.0,-158961766.0,-26151820.0,-1046461819.0,-2448057624.0,-14475711.0,-14623341186.0,13973868310.0,-584680946.0,-584680946.0
14,"Thu nhập khác, ròng",-12930039.0,-157335353.0,-8428250.0,-987138119.0,-2369059267.0,-3149211.0,-13344960946.0,18900126356.0,-553066864.0,-553066864.0
16,Lãi/(lỗ) ròng trước thuế,26951283785.0,15007044424.0,11790702731.0,19879711587.0,83123362565.0,14717114863.0,24013826046.0,11868277399.0,185425079511.0,185425079511.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-2761498881.0,-3025634655.0,-2365538345.0,-4494022022.0,-14249587949.0,-2946318115.0,-7719176322.0,398810182.0,-105772461759.0,-105772461759.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,-2614767994.0,0.0,0.0,0.0,-2258246529.0,0.0,0.0,0.0,68483146835.0,68483146835.0
19,Chi phí thuế thu nhập doanh nghiệp,-5376266875.0,-3025634655.0,-2365538345.0,-4494022022.0,-16507834478.0,-2946318115.0,-7719176322.0,398810182.0,-37289314924.0,-37289314924.0
20,Lãi/(lỗ) thuần sau thuế,21575016910.0,11981409769.0,9425164386.0,15385689565.0,66615528087.0,11770796748.0,16294649724.0,12267087581.0,148135764587.0,148135764587.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,21575016910.0,11981409769.0,9425164386.0,15385689565.0,66615528087.0,11770796748.0,16294649724.0,12267087581.0,148135764587.0,148135764587.0
23,Lãi cơ bản trên cổ phiếu,0.0,0.0,476.0,0.0,0.0,0.0,624.0,0.0,3295.0,3295.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
