,Unnamed: 0,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,-8654595081.0,5335828348.0,5933103632.0,2463657833.0,-9121640740.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,774474067.0,2991039651.0,2487563688.0,2402749271.0,1317131677.0
2,Lãi trước thuế,678116625.0,2911357025.0,2347748634.0,2802847106.0,1898955608.0
3,Khấu hao TSCĐ,200217323.0,204198889.0,252856933.0,281548017.0,252872488.0
5,Chi phí dự phòng,-7354285.0,0.0,0.0,-22614991.0,0.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,0.0,0.0
7,Lãi/(lỗ) từ thanh lý tài sản cố định,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-96505596.0,-124516263.0,-113041879.0,-659030861.0,-834696419.0
9,Chi phí lãi vay,0.0,0.0,0.0,0.0,0.0
10,Thu lãi và cổ tức,0.0,0.0,0.0,0.0,0.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,-4804707642.0,-44420812.0,1569801278.0,-1993155296.0,1419549646.0
13,(Tăng)/giảm hàng tồn kho,3532508012.0,2943145166.0,1877244615.0,-7314861064.0,8360265026.0
14,Tăng/(giảm) các khoản phải trả,-7178306864.0,188011175.0,1045707243.0,10087815822.0,-18784303198.0
15,( Tăng)/giảm chi phí trả trước,51000000.0,30000000.0,-20000000.0,30000000.0,30000000.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,0.0,0.0,0.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp đã trả,-1361457011.0,-149000000.0,-640000000.0,-697207487.0,-550892295.0
19,Tiền thu khác từ các hoạt động kinh doanh,1181156188.0,4002212493.0,1605964263.0,-6787032944.0,23000000.0
20,Tiền chi khác từ các hoạt động kinh doanh,-849261831.0,-4625159325.0,-1993177455.0,6735349531.0,-936391596.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-3116908959.0,733081836.0,-350298394.0,614728861.0,-4447326599.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-1426394091.0,-705322909.0,-463340273.0,-44302000.0,0.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,0.0,0.0,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,-1867976982.0,-394000000.0,0.0,0.0,-5850000000.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,80956518.0,1707888482.0,0.0,0.0,567976982.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,96505596.0,124516263.0,113041879.0,659030861.0,834696419.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,0.0,-3300692800.0,0.0,0.0,0.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,0.0,0.0,0.0,0.0,0.0
33,Tiển trả các khoản đi vay,0.0,0.0,0.0,0.0,0.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,0.0,-3300692800.0,0.0,0.0,0.0
36,Tiền lãi đã nhận,0.0,0.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,-11771504040.0,2768217384.0,5582805238.0,3078386694.0,-13568967339.0
38,Tiền và tương đương tiền đầu kỳ,33184456406.0,21412952366.0,24181169750.0,29763974988.0,32842321682.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,21412952366.0,24181169750.0,29763974988.0,32842361682.0,19273354343.0
