,CHỈ TIÊU,2015,2016,2017,2018,2019,2020,2021,2022
0,Doanh số,876232698781.0,791384766734.0,813270845128.0,1012521129174.0,1116545062063.0,778959364574.0,1123697019902.0,968781064821.0
1,Các khoản giảm trừ,-1313261443.0,-817842331.0,-75551131.0,-458175080.0,-301221721.0,-196628874.0,-190094095.0,-77113225.0
2,Doanh số thuần,874919437338.0,790566924403.0,813195293997.0,1012062954094.0,1116243840342.0,778762735700.0,1123506925807.0,968703951596.0
3,Giá vốn hàng bán,-855488700680.0,-758593899110.0,-778878086033.0,-970522697328.0,-1082804262205.0,-745210223029.0,-1019249205306.0,-955354442633.0
4,Lãi gộp,19430736658.0,31973025293.0,34317207964.0,41540256766.0,33439578137.0,33552512671.0,104257720501.0,13349508963.0
5,Thu nhập tài chính,6259140151.0,4405037213.0,5095375517.0,6088090920.0,801467559.0,4679259658.0,150877272.0,1189619124.0
6,Chi phí tài chính,-4624200061.0,-5772506932.0,-7955233111.0,-13073416186.0,-19193183391.0,-19455727036.0,-18309555073.0,-28871335200.0
7,Trong đó: Chi phí lãi vay,-3908816723.0,-4793874962.0,-7497027636.0,-12728436594.0,-18471021159.0,-19329350697.0,-16960418459.0,-20496366615.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-1594383244.0,-4496031803.0,-1886241532.0,-1959350673.0,-1980221839.0,-2661628686.0,-1912698486.0,-1729694295.0
10,Chi phí quản lý doanh  nghiệp,-3707474010.0,-6412915701.0,-5515838847.0,-6678405260.0,-10009479883.0,-7466306979.0,-5707823451.0,-93052401349.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,15763819494.0,19696608070.0,24055269991.0,25917175567.0,3058160583.0,8648109628.0,78478520763.0,-109114302757.0
12,Thu nhập khác,315494363.0,2460531751.0,21785687.0,80116496.0,5243094.0,94884726.0,84388150.0,123049134103.0
13,Chi phí khác,-30173586.0,-515783811.0,-914880358.0,-1952825753.0,-1590684289.0,-1573284710.0,-884266959.0,-1789273057.0
14,"Thu nhập khác, ròng",285320777.0,1944747940.0,-893094671.0,-1872709257.0,-1585441195.0,-1478399984.0,-799878809.0,121259861046.0
16,Lãi/(lỗ) ròng trước thuế,16049140271.0,21641356010.0,23162175320.0,24044466310.0,1472719388.0,7169709644.0,77678641954.0,12145558289.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-3534911010.0,-4328271202.0,-5020627174.0,-5380636359.0,-886555527.0,-1812161356.0,-15947433079.0,-2595982684.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-3534911010.0,-4328271202.0,-5020627174.0,-5380636359.0,-886555527.0,-1812161356.0,-15947433079.0,-2595982684.0
20,Lãi/(lỗ) thuần sau thuế,12514229261.0,17313084808.0,18141548146.0,18663829951.0,586163861.0,5357548288.0,61731208875.0,9549575605.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,12514229261.0,17313084808.0,18141548146.0,18663829951.0,586163861.0,5357548288.0,61731208875.0,9549575605.0
23,Lãi cơ bản trên cổ phiếu,733.0,679.0,711.0,731.91,22.99,210.1,2225.0,340.0
24,Lãi trên cổ phiếu pha loãng,733.0,679.0,711.0,0.0,0.0,0.0,1111.0,0.0
