,CHỈ TIÊU,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,670298237008.0,65470840547.0,62010816478.0,54646883594.0,52393524811.0,64831640077.0,96632668887.0,85849322519.0,95995678060.0
1,TÀI SẢN NGẮN HẠN,47842289940.0,53057183239.0,50586677510.0,42002702118.0,40499493814.0,53280781342.0,85859753832.0,75234202633.0,86918649619.0
2,Tiền và tương đương tiền,14152870568.0,11815904026.0,9631144794.0,4544167174.0,4766609604.0,1796882625.0,1678722007.0,1318058943.0,4303197629.0
3,Tiền,6081859435.0,6730551098.0,9631144794.0,4544167174.0,748116453.0,796882625.0,1678722007.0,1318058943.0,4303197629.0
4,Các khoản tương đương tiền,8071011133.0,5085352928.0,0.0,0.0,4018493151.0,1000000000.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,27098281178.0,39287280737.0,38183593103.0,35718138453.0,34028272480.0,46281674515.0,69134661328.0,59801407043.0,79495703482.0
10,Phải thu khách hàng,25029078135.0,38786601694.0,32940182478.0,33392899149.0,35071412998.0,46578115233.0,61012541741.0,54724066197.0,78842105462.0
11,Trả trước người bán,24150464.0,84303185.0,403109834.0,90000000.0,216709000.0,216379000.0,719350651.0,1055258110.0,858788279.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,2045052579.0,2132846242.0,7129689772.0,4429546419.0,1861336597.0,3491209897.0,12132674311.0,10614829174.0,7077537615.0
16,Dự phòng nợ khó đòi,0.0,-1716470384.0,-2289388981.0,-2194307115.0,-3121186115.0,-4004029615.0,-4729905375.0,-6592746438.0,-7282727874.0
