,CHỈ TIÊU,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,8055690549326.0,7960232745911.0,7674288244603.0,9061225894359.0,9231703052289.0,8351971628145.0,8958686801437.0,8611125763291.0
1,TÀI SẢN NGẮN HẠN,2334603881326.0,2372908985259.0,1802307836313.0,2596281287493.0,1960440525002.0,1494459105437.0,2170241001990.0,2232453004396.0
2,Tiền và tương đương tiền,81923488930.0,57625548166.0,460210215393.0,212882538874.0,730564116171.0,144301260966.0,734363672465.0,1208606920989.0
3,Tiền,45211498547.0,15579525336.0,47752305574.0,112882538874.0,123790305186.0,13801260966.0,10352843765.0,16235303589.0
4,Các khoản tương đương tiền,36711990383.0,42046022830.0,412457909819.0,100000000000.0,606773810985.0,130500000000.0,724010828700.0,1192371617400.0
5,Giá trị thuần đầu tư ngắn hạn,1516578098747.0,1427005190482.0,268817781781.0,1136444857992.0,685897861813.0,906609863014.0,805543013699.0,400000000000.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,1516578098747.0,1427005190482.0,268817781781.0,1136444857992.0,685897861813.0,906609863014.0,805543013699.0,400000000000.0
9,Các khoản phải thu,697860970953.0,799505675659.0,1037004362414.0,1202619953730.0,452817305174.0,407101224604.0,599463041941.0,584910106545.0
10,Phải thu khách hàng,607860728097.0,525371255037.0,973149579052.0,702724084112.0,358393390591.0,319655796608.0,547444087058.0,539431025628.0
11,Trả trước người bán,19495179866.0,194133819213.0,12812426113.0,214455345488.0,44047760014.0,617453789.0,3585007005.0,1204969105.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,200000000000.0,0.0,0.0,0.0,0.0
15,Phải thu khác,70877168890.0,80000601409.0,51089107249.0,85487274130.0,50376154569.0,86827974207.0,49737204911.0,46201029922.0
16,Dự phòng nợ khó đòi,-372105900.0,0.0,-46750000.0,-46750000.0,0.0,0.0,-1303257033.0,-1926918110.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",37995042019.0,87228856900.0,35937541446.0,41094736869.0,89198264643.0,34701177033.0,28666796418.0,38404092046.0
19,Hàng tồn kho,37995042019.0,87228856900.0,35937541446.0,41094736869.0,89198264643.0,34701177033.0,28666796418.0,38404092046.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,246280677.0,1543714052.0,337935279.0,3239200028.0,1962977201.0,1745579820.0,2204477467.0,531884816.0
22,Trả trước ngắn hạn,246280677.0,1529954713.0,324175940.0,299627449.0,1734874568.0,1665330983.0,2204477467.0,531884816.0
23,Thuế VAT phải thu,0.0,0.0,0.0,2925813240.0,0.0,0.0,0.0,0.0
24,Phải thu thuế khác,0.0,13759339.0,13759339.0,13759339.0,228102633.0,80248837.0,0.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,5721086668000.0,5587323760652.0,5871980408290.0,6464944606866.0,7271262527287.0,6857512522708.0,6788445799447.0,6378672758895.0
28,Phải thu dài hạn,716471721279.0,799932824894.0,964420123321.0,599932824894.0,799932824894.0,799932824894.0,799932824894.0,799932824894.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,164487298427.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,715521377879.0,799932824894.0,799932824894.0,599932824894.0,799932824894.0,799932824894.0,799932824894.0,799932824894.0
34,Phải thu dài hạn khác,950343400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,4690088932214.0,4366482016977.0,4071339205066.0,3883150920002.0,5764183782771.0,5461979964333.0,5645125985715.0,5299544680420.0
37,GTCL TSCĐ hữu hình,4688686424070.0,4365187545970.0,4070197617863.0,3882162216603.0,5763347963176.0,5460953119682.0,5644287824864.0,5298542592414.0
38,Nguyên giá TSCĐ hữu hình,12498062923876.0,12526746350586.0,12529631270781.0,12582084046249.0,14780687683939.0,14828272944701.0,15361520809415.0,15370330000906.0
39,Khấu hao lũy kế TSCĐ hữu hình,-7809376499806.0,-8161558804616.0,-8459433652918.0,-8699921829646.0,-9017339720763.0,-9367319825019.0,-9717232984551.0,-10071787408492.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
