,Unnamed: 0,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,114193649560.0,68281793789.0,137634738351.0,122695065313.0,87045216395.0,181382472689.0,128467443864.0,88257020546.0,150038793905.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,63274039526.0,80818523153.0,115554963421.0,143080702034.0,140772362063.0,141883975672.0,148100454444.0,152723273650.0,169017972671.0
2,Lãi trước thuế,39148131027.0,65212802124.0,97120319485.0,109579768041.0,93934537755.0,89182189675.0,76942195869.0,89907756865.0,99502448971.0
3,Khấu hao TSCĐ,25237363844.0,19564143332.0,21348951558.0,32930285006.0,45110732463.0,47470251388.0,55214150536.0,56071228917.0,58393974248.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,1509722102.0,0.0,-29275018.0,-258273480.0,192586962.0,0.0,787289751.0,0.0,2586577698.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-3649630919.0,-4854448515.0,-3747148537.0,-2834572410.0,-3839870359.0,-4352978061.0,1865458630.0,-5466524809.0,-4861780082.0
9,Chi phí lãi vay,1028453472.0,896026212.0,862115933.0,3663494877.0,5374375242.0,9584512670.0,13291359658.0,12210812677.0,13396751836.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,-1743385895.0,-3764243611.0,3748897099.0,-1193100516.0,10113431902.0,7667523735.0,-5307616550.0,-15353515163.0,21660598741.0
13,(Tăng)/giảm hàng tồn kho,-3394969276.0,-1279544545.0,4103329031.0,-1677061004.0,-14094462720.0,7378005752.0,-5847964984.0,17555171984.0,-2895860265.0
14,Tăng/(giảm) các khoản phải trả,59574642678.0,940737771.0,26954475612.0,-702246429.0,-38373077547.0,42745705433.0,13625721909.0,-64100580764.0,-9700422446.0
15,( Tăng)/giảm chi phí trả trước,-1426536767.0,2392784640.0,533257805.0,327702198.0,211404657.0,-1188710942.0,-764879285.0,605660556.0,1130295365.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-1028453472.0,-896026212.0,-862115933.0,-3663494877.0,-4709666590.0,-9880297974.0,-13291359658.0,-11972650976.0,-13620663227.0
18,Thuế thu nhập doanh nghiệp đã trả,-1061687234.0,-5483214407.0,-5927036521.0,-7248829063.0,-7204230370.0,-6565817187.0,-6770027763.0,10423477259.0,-13971826934.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,0.0,-4447223000.0,-6471032163.0,-6228607030.0,329455000.0,-657911800.0,-1276884249.0,-1623816000.0,-1581300000.0
