,CHỈ TIÊU,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q4 2021.1,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,33036661809.0,1432974099.0,25371709957.0,22203325021.0,26578018052.0,26578018052.0,9366179850.0,20133963866.0,20445782050.0,32315512812.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,33036661809.0,1432974099.0,25371709957.0,22203325021.0,26578018052.0,26578018052.0,9366179850.0,20133963866.0,20445782050.0,32315512812.0
3,Giá vốn hàng bán,-31344506682.0,-1260444284.0,-23961968402.0,-19990802749.0,-26092047621.0,-26092047621.0,-8722117552.0,-19469096553.0,-20419890561.0,-32117137198.0
4,Lãi gộp,1692155127.0,172529815.0,1409741555.0,2212522272.0,485970431.0,485970431.0,644062298.0,664867313.0,25891489.0,198375614.0
5,Thu nhập tài chính,404221999.0,36670978.0,1528281.0,616949.0,250790488.0,250790488.0,12454789.0,1599738691.0,1075883577.0,53968984.0
6,Chi phí tài chính,63389619.0,77723312.0,-79111042.0,-165413779.0,575447745.0,575447745.0,-216768739.0,-989898441.0,-735254077.0,-664983715.0
7,Trong đó: Chi phí lãi vay,-30968768.0,-124810535.0,-194244982.0,-215978479.0,-230564283.0,-230564283.0,-233094320.0,-465692685.0,-506678680.0,-506564884.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Chi phí quản lý doanh  nghiệp,-1898955130.0,-262554208.0,-1073618605.0,-1826546999.0,-1133471248.0,-1133471248.0,-507374175.0,-1012720516.0,-1490268895.0,-1192801885.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,260811615.0,24369897.0,258540189.0,221178443.0,178737416.0,178737416.0,-67625827.0,261987047.0,-1123747906.0,-1605441002.0
12,Thu nhập khác,62971979.0,66301531.0,64030572.0,15621260.0,348740111.0,348740111.0,13531020.0,99373636.0,18694601.0,889825301.0
13,Chi phí khác,-6219681.0,-15736630.0,-2333366.0,-115500.0,-56410740.0,-56410740.0,-11126369.0,-30062.0,0.0,-370900009.0
14,"Thu nhập khác, ròng",56752298.0,50564901.0,61697206.0,15505760.0,292329371.0,292329371.0,2404651.0,99343574.0,18694601.0,518925292.0
16,Lãi/(lỗ) ròng trước thuế,317563913.0,74934798.0,320237395.0,236684203.0,471066787.0,471066787.0,-65221176.0,361330621.0,-1105053305.0,-1086515710.0
17,Thuế thu nhập doanh nghiệp – hiện thời,26183414.0,-19634286.0,-66714146.0,-50359943.0,-97045490.0,-97045490.0,0.0,-117454303.0,0.0,112991749.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,26183414.0,-19634286.0,-66714146.0,-50359943.0,-97045490.0,-97045490.0,0.0,-117454303.0,0.0,112991749.0
20,Lãi/(lỗ) thuần sau thuế,343747327.0,55300512.0,253523249.0,186324260.0,374021297.0,374021297.0,-65221176.0,243876318.0,-1105053305.0,-973523961.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,343747327.0,55300512.0,253523249.0,186324260.0,374021297.0,374021297.0,-65221176.0,243876318.0,-1105053305.0,-973523961.0
23,Lãi cơ bản trên cổ phiếu,334.0,54.0,247.0,181.0,364.0,364.0,-63.0,237.0,-1075.0,-947.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,0.0,0.0
