,CHỈ TIÊU,Q3 2010,Q1 2015,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q2 2018,Q3 2018,Q4 2018
0,TỔNG TÀI SẢN,145896999268.0,109627361439.0,173296547233.0,165746246920.0,142419521681.0,167922029255.0,164187049631.0,192939729019.0,189081686892.0
1,TÀI SẢN NGẮN HẠN,79728304681.0,68619602624.0,142282821742.0,136202839048.0,114704667785.0,141177672002.0,139543766307.0,168508226578.0,165690424350.0
2,Tiền và tương đương tiền,436795947.0,2056279071.0,10235783596.0,17954714022.0,3775593338.0,17848692600.0,6988909393.0,4828017337.0,15130135706.0
3,Tiền,436795947.0,2056279071.0,9378700996.0,17097588129.0,2918467445.0,16999602600.0,5944516593.0,3778723601.0,14077999124.0
4,Các khoản tương đương tiền,0.0,0.0,857082600.0,857125893.0,857125893.0,849090000.0,1044392800.0,1049293736.0,1052136582.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,327991111.0,327991111.0,327991111.0,335983711.0,481320221.0,661846956.0,661846956.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,327991111.0,327991111.0,327991111.0,335983711.0,481320221.0,661846956.0,661846956.0
9,Các khoản phải thu,39150357984.0,37783788667.0,66473673442.0,63769369591.0,60018107079.0,76128032610.0,84798574646.0,94990723225.0,73944694696.0
10,Phải thu khách hàng,39150357984.0,38762034006.0,73665325311.0,71078026632.0,66954731320.0,81111805198.0,90855988742.0,98133608440.0,82264562472.0
11,Trả trước người bán,0.0,34665000.0,697622290.0,612543872.0,949515100.0,1337815053.0,1745721954.0,5476036520.0,506597800.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,0.0,2434870437.0,1657894936.0,1925968182.0,2261029754.0,4154606964.0,2673058555.0,1857272870.0,1649729029.0
