,CHỈ TIÊU,Q3 2010,Q1 2015,Q1 2017,Q2 2017,Q3 2017,Q2 2018,Q3 2018,Q4 2018
0,Doanh số,17614900950.0,30082213222.0,53347223836.0,61249954900.0,61390284750.0,66726716116.0,73836445990.0,56744735370.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,17614900950.0,30082213222.0,53347223836.0,61249954900.0,61390284750.0,66726716116.0,73836445990.0,56744735370.0
3,Giá vốn hàng bán,-15465927023.0,-26733909766.0,-46524607283.0,-52315750395.0,-53002728655.0,-60189078374.0,-68901567754.0,-50177898297.0
4,Lãi gộp,2148973927.0,3348303456.0,6822616553.0,8934204505.0,8387556095.0,6537637742.0,4934878236.0,6566837073.0
5,Thu nhập tài chính,8407540.0,17440234.0,78471459.0,45162861.0,19436235.0,20185159.0,22987661.0,91111746.0
6,Chi phí tài chính,-900367037.0,-243488777.0,-708786834.0,-998169158.0,-763225112.0,-839132836.0,-1135699032.0,-1072810395.0
7,Trong đó: Chi phí lãi vay,0.0,-225331246.0,-652882421.0,-994477630.0,-750063685.0,-817569236.0,-711698706.0,-1029672038.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-206925311.0,-915188372.0,-2795621319.0,-4084618703.0,-3801934557.0,-2444992550.0,-2638195714.0,-2588645323.0
10,Chi phí quản lý doanh  nghiệp,-882842741.0,-2135311573.0,-2876411171.0,-3255579023.0,-3250541672.0,-2928249746.0,-2905774112.0,-2572526049.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,167246378.0,71754968.0,520268688.0,641000482.0,591290989.0,345447769.0,-1721802961.0,423967052.0
12,Thu nhập khác,26769166.0,37841500.0,210092000.0,201600001.0,217229500.0,469074091.0,622186818.0,506790374.0
13,Chi phí khác,0.0,-10937500.0,-8492000.0,-14171825.0,-8063600.0,-16340387.0,-14000525.0,-14260823.0
14,"Thu nhập khác, ròng",26769166.0,26904000.0,201600000.0,187428176.0,209165900.0,452733704.0,608186293.0,492529551.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,194015544.0,98658968.0,721868688.0,828428658.0,800456889.0,798181473.0,-1113616668.0,916496603.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Lãi/(lỗ) thuần sau thuế,194015544.0,98658968.0,721868688.0,828428658.0,800456889.0,798181473.0,-1113616668.0,916496603.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,194015544.0,98658968.0,721868688.0,828428658.0,800456889.0,798181473.0,-1113616668.0,916496603.0
23,Lãi cơ bản trên cổ phiếu,0.0,0.0,0.0,168.0,0.0,0.0,0.0,223.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0
