,CHỈ TIÊU,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q4 2021.1,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,1932767079.0,1644541364.0,7861592479.0,7397962494.0,1899063496.0,1899063496.0,1757695116.0,358862598.0,872767991.0,4791681539.0
1,Các khoản giảm trừ,-392118240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,1540648839.0,1644541364.0,7861592479.0,7397962494.0,1899063496.0,1899063496.0,1757695116.0,358862598.0,872767991.0,4791681539.0
3,Giá vốn hàng bán,-2231914433.0,-1481677159.0,-7440986377.0,-8695294055.0,-1563168174.0,-1563168174.0,-1473975255.0,-835483158.0,-1501654248.0,-2856120695.0
4,Lãi gộp,-691265594.0,162864205.0,420606102.0,-1297331561.0,335895322.0,335895322.0,283719861.0,-476620560.0,-628886257.0,1935560844.0
5,Thu nhập tài chính,10147.0,8525.0,39430.0,26999.0,7644.0,7644.0,11688.0,10498.0,11879.0,40826.0
6,Chi phí tài chính,-1581367032.0,0.0,-2510907101.0,0.0,0.0,0.0,0.0,-2031980603.0,0.0,-2031980603.0
7,Trong đó: Chi phí lãi vay,-3445361411.0,0.0,-2510907101.0,0.0,0.0,0.0,0.0,-2031980603.0,0.0,-2031980603.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Chi phí quản lý doanh  nghiệp,-775770734.0,-970152143.0,-1185067511.0,-671558534.0,-650493763.0,-650493763.0,-679475350.0,-3448487482.0,-1977449579.0,-1686990483.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,-3048393213.0,-807279413.0,-3275329080.0,-1968863096.0,-314590797.0,-314590797.0,-395743801.0,-5957078147.0,-2606323957.0,-1783369416.0
12,Thu nhập khác,0.0,0.0,2409017223.0,0.0,0.0,0.0,0.0,0.0,440.0,0.0
13,Chi phí khác,-1745833930.0,-465364.0,-729445905.0,0.0,-85000000.0,-85000000.0,-4833521.0,-1054285048.0,-4249973.0,-11984760.0
14,"Thu nhập khác, ròng",-1745833930.0,-465364.0,1679571318.0,0.0,-85000000.0,-85000000.0,-4833521.0,-1054285048.0,-4249533.0,-11984760.0
16,Lãi/(lỗ) ròng trước thuế,-4794227143.0,-807744777.0,-1595757762.0,-1968863096.0,-399590797.0,-399590797.0,-400577322.0,-7011363195.0,-2610573490.0,-1795354176.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Lãi/(lỗ) thuần sau thuế,-4794227143.0,-807744777.0,-1595757762.0,-1968863096.0,-399590797.0,-399590797.0,-400577322.0,-7011363195.0,-2610573490.0,-1795354176.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,-4794227143.0,-807744777.0,-1595757762.0,-1968863096.0,-399590797.0,-399590797.0,-400577322.0,-7011363195.0,-2610573490.0,-1795354176.0
23,Lãi cơ bản trên cổ phiếu,0.0,0.0,-120.0,0.0,0.0,0.0,0.0,-371.0,0.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
