,CHỈ TIÊU,Q3 2017,Q4 2017
0,Doanh số,25425862506.0,180222534024.0
1,Các khoản giảm trừ,0.0,0.0
2,Doanh số thuần,25425862506.0,180222534024.0
3,Giá vốn hàng bán,-21385253330.0,-171520406301.0
4,Lãi gộp,4040609176.0,8702127723.0
5,Thu nhập tài chính,256383382.0,275435654.0
6,Chi phí tài chính,0.0,0.0
7,Trong đó: Chi phí lãi vay,0.0,0.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0
9,Chi phí bán hàng,0.0,0.0
10,Chi phí quản lý doanh  nghiệp,-4054824412.0,-5188859662.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,242168146.0,3788703715.0
12,Thu nhập khác,57068832.0,263674752.0
13,Chi phí khác,-2781160.0,-4735463.0
14,"Thu nhập khác, ròng",54287672.0,258939289.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,296455818.0,4047643004.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-93716969.0,-840876569.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-93716969.0,-840876569.0
20,Lãi/(lỗ) thuần sau thuế,202738849.0,3206766435.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,202738849.0,3206766435.0
23,Lãi cơ bản trên cổ phiếu,0.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0
