,CHỈ TIÊU,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q4 2021.1,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,190094797937.0,187345836653.0,204660924737.0,172111410063.0,184509420965.0,184509420965.0,194198978703.0,220995748136.0,218498820758.0,219736423769.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,190094797937.0,187345836653.0,204660924737.0,172111410063.0,184509420965.0,184509420965.0,194198978703.0,220995748136.0,218498820758.0,219736423769.0
3,Giá vốn hàng bán,-131233946748.0,-134315016050.0,-146467368368.0,-135389782324.0,-131226603360.0,-131226603360.0,-142176308516.0,-149623586496.0,-153683123420.0,-140810627904.0
4,Lãi gộp,58860851189.0,53030820603.0,58193556369.0,36721627739.0,53282817605.0,53282817605.0,52022670187.0,71372161640.0,64815697338.0,78925795865.0
5,Thu nhập tài chính,689709935.0,328913024.0,135557785.0,356432891.0,383134035.0,383134035.0,124119675.0,210827015.0,489707041.0,1158497297.0
6,Chi phí tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Trong đó: Chi phí lãi vay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-37858953119.0,-31420805690.0,-31738458179.0,-20833469711.0,-31144864853.0,-31144864853.0,-34514410503.0,-36585206861.0,-40755135321.0,-52448840722.0
10,Chi phí quản lý doanh  nghiệp,-18691787458.0,-16038397679.0,-19735594924.0,-12481317722.0,-17866191387.0,-17866191387.0,-11490953492.0,-28005473559.0,-18058172217.0,-20418925651.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,2999820547.0,5900530258.0,6855061051.0,3763273197.0,4654895400.0,4654895400.0,6141425867.0,6992308235.0,6492096841.0,7216526789.0
12,Thu nhập khác,-122649825.0,3772341.0,3171839.0,1457.0,844328857.0,844328857.0,27591992.0,15618515.0,46700311.0,28253598.0
13,Chi phí khác,355378184.0,-6997512.0,-3324685.0,-3848.0,-9039847.0,-9039847.0,-651240.0,-33.0,-409724.0,-7002519.0
14,"Thu nhập khác, ròng",232728359.0,-3225171.0,-152846.0,-2391.0,835289010.0,835289010.0,26940752.0,15618482.0,46290587.0,21251079.0
16,Lãi/(lỗ) ròng trước thuế,3232548906.0,5897305087.0,6854908205.0,3763270806.0,5490184410.0,5490184410.0,6168366619.0,7007926717.0,6538387428.0,7237777868.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-1689657326.0,-1118464010.0,-1300573109.0,-550159853.0,1617045060.0,1617045060.0,-1233673324.0,-1401585343.0,-1795716646.0,-4744430943.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,1770995431.0,0.0,0.0,0.0,-2900373670.0,-2900373670.0,0.0,0.0,0.0,2978978961.0
19,Chi phí thuế thu nhập doanh nghiệp,81338105.0,-1118464010.0,-1300573109.0,-550159853.0,-1283328610.0,-1283328610.0,-1233673324.0,-1401585343.0,-1795716646.0,-1765451982.0
20,Lãi/(lỗ) thuần sau thuế,3313887011.0,4778841077.0,5554335096.0,3213110953.0,4206855800.0,4206855800.0,4934693295.0,5606341374.0,4742670782.0,5472325886.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,3313887011.0,4778841077.0,5554335096.0,3213110953.0,4206855800.0,4206855800.0,4934693295.0,5606341374.0,4742670782.0,5472325886.0
23,Lãi cơ bản trên cổ phiếu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
