,CHỈ TIÊU,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,162755110763.0,213026859927.0,214085404172.0,228441955793.0,383042529649.0,920438529977.0,928713732763.0,999850101117.0
1,TÀI SẢN NGẮN HẠN,31304348575.0,40566739937.0,41257609091.0,44153267367.0,49003149879.0,69824261167.0,99719635265.0,128368777195.0
2,Tiền và tương đương tiền,7742607566.0,14226310683.0,9475142425.0,11200540192.0,24520574525.0,23518883345.0,24448502990.0,24014027594.0
3,Tiền,2742607566.0,11226310683.0,9475142425.0,11200540192.0,24520574525.0,23518883345.0,24448502990.0,24014027594.0
4,Các khoản tương đương tiền,5000000000.0,3000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,500000000.0,0.0,0.0,0.0,0.0,12000000000.0,41167933712.0,66150784540.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,500000000.0,0.0,0.0,0.0,0.0,12000000000.0,41167933712.0,66150784540.0
9,Các khoản phải thu,14379888095.0,14611964848.0,16412887645.0,24201206639.0,16930639856.0,18419640499.0,19310386617.0,21235274946.0
10,Phải thu khách hàng,12058116166.0,12863352748.0,11543110811.0,19646045344.0,15062203624.0,16851145326.0,16648320213.0,18728273984.0
11,Trả trước người bán,1085813600.0,313581015.0,474775900.0,249144418.0,306357649.0,842301067.0,2082992124.0,1071745215.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,500000000.0,500000000.0,500000000.0,500000000.0,0.0,0.0,0.0
15,Phải thu khác,1235958329.0,935031085.0,3895000934.0,3806016877.0,1062078583.0,726194106.0,579074280.0,1577782379.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-142526632.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",7518317663.0,7298407519.0,12519991819.0,6755079360.0,5445730911.0,13317846703.0,13688723477.0,14168506938.0
19,Hàng tồn kho,7518317663.0,7298407519.0,12519991819.0,6755079360.0,5445730911.0,13317846703.0,13688723477.0,14168506938.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,1163535251.0,4430056887.0,2849587202.0,1996441176.0,2106204587.0,2567890620.0,1104088469.0,2800183177.0
22,Trả trước ngắn hạn,334397411.0,237692941.0,312173004.0,1019806556.0,1119523928.0,478934645.0,1047992710.0,1259217349.0
23,Thuế VAT phải thu,0.0,1270562599.0,1578558039.0,274011311.0,186304075.0,887961089.0,0.0,1340036100.0
24,Phải thu thuế khác,829137840.0,2921801347.0,958856159.0,702623309.0,800376584.0,1200994886.0,56095759.0,200929728.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,131450762188.0,172460119990.0,172827795081.0,184288688426.0,334039379770.0,850614268810.0,828994097498.0,871481323922.0
28,Phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,91855811115.0,111174351139.0,135286056661.0,138473309347.0,272524594566.0,783158721362.0,763421298210.0,791570144960.0
37,GTCL TSCĐ hữu hình,91855811115.0,110944232916.0,135151159770.0,138433633788.0,272390239726.0,782968889369.0,763325716209.0,790698345321.0
38,Nguyên giá TSCĐ hữu hình,225276094533.0,265995301440.0,313441820231.0,339364705950.0,502886517788.0,1055928637970.0,1085748978890.0,1136684437650.0
39,Khấu hao lũy kế TSCĐ hữu hình,-133420283418.0,-155051068524.0,-178290660461.0,-200931072162.0,-230496278062.0,-272959748601.0,-322423262681.0,-345986092329.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,0.0,230118223.0,134896891.0,39675559.0,134354840.0,189831993.0,95582001.0,871799639.0
44,Nguyên giá TSCĐ vô hình,71600000.0,357264000.0,357264000.0,357264000.0,527264000.0,640014000.0,640014000.0,1666240626.0
45,Khấu hao lũy kế TSCĐ vô hình,-71600000.0,-127145777.0,-222367109.0,-317588441.0,-392909160.0,-450182007.0,-544431999.0,-794440987.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
