,CHỈ TIÊU,Q1 2018,Q2 2018,Q4 2018,Q1 2019,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,TỔNG TÀI SẢN,120144763201.0,117225759597.0,118070723996.0,119857123915.0,173356847668.0,177043568903.0,202766221743.0,304521713791.0
1,TÀI SẢN NGẮN HẠN,11157821415.0,8328021204.0,5201944321.0,7360047633.0,119744170019.0,123449021194.0,149211971757.0,226569274988.0
2,Tiền và tương đương tiền,815491261.0,804404593.0,391055686.0,4907739905.0,2341417625.0,2792291587.0,2163710875.0,1100154777.0
3,Tiền,815491261.0,804404593.0,391055686.0,4907739905.0,2341417625.0,2792291587.0,2163710875.0,1100154777.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,9821304344.0,6966496893.0,4293367439.0,1935677120.0,117378395877.0,117676675821.0,123294338161.0,191746496053.0
10,Phải thu khách hàng,1726682224.0,65819773.0,3690319.0,0.0,7074512746.0,7804809051.0,250850800.0,7608450568.0
11,Trả trước người bán,2059622120.0,1935677120.0,1975677120.0,1935677120.0,36958475530.0,37820859167.0,38770701984.0,27026882402.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,11800000000.0,9400000000.0,12500000000.0,11800000000.0
15,Phải thu khác,6035000000.0,4965000000.0,2314000000.0,0.0,61545407601.0,62651007603.0,71772785377.0,145311163083.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",521025810.0,521025810.0,517521196.0,516630608.0,0.0,2960832136.0,23435388486.0,29933759005.0
19,Hàng tồn kho,521025810.0,521025810.0,517521196.0,516630608.0,0.0,2960832136.0,23435388486.0,29933759005.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,0.0,36093908.0,0.0,0.0,24356517.0,19221650.0,318534235.0,3788865153.0
22,Trả trước ngắn hạn,0.0,0.0,0.0,0.0,24356517.0,19221650.0,9894965.0,2609624823.0
23,Thuế VAT phải thu,0.0,36093908.0,0.0,0.0,0.0,0.0,308639270.0,1179240330.0
24,Phải thu thuế khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,108986941786.0,108897738393.0,112868779675.0,112497076282.0,53612677649.0,53594547709.0,53554249986.0,77952438803.0
28,Phải thu dài hạn,78575000.0,78575000.0,78575000.0,78575000.0,0.0,0.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,78575000.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,78575000.0,78575000.0,0.0,78575000.0,0.0,0.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,1374638729.0,1266996149.0,1051710989.0,944068409.0,1085796710.0,1050649096.0,1015501482.0,980353868.0
37,GTCL TSCĐ hữu hình,1374638729.0,1266996149.0,1051710989.0,944068409.0,1085796710.0,1050649096.0,1015501482.0,980353868.0
38,Nguyên giá TSCĐ hữu hình,3013992273.0,3013992273.0,3013992273.0,3013992273.0,1124723637.0,1124723637.0,1124723637.0,1124723637.0
39,Khấu hao lũy kế TSCĐ hữu hình,-1639353544.0,-1746996124.0,-1962281284.0,-2069923864.0,-38926927.0,-74074541.0,-109222155.0,-144369769.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Nguyên giá TSCĐ vô hình,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Khấu hao lũy kế TSCĐ vô hình,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Bất động sản đầu tư,92530676125.0,92266615312.0,91738493686.0,91474432873.0,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,97248288820.0,97248288820.0,97248288820.0,97248288820.0,0.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,-4717612695.0,-4981673508.0,-5509795134.0,-5773855947.0,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,15003051932.0,15265551932.0,0.0,682727273.0,0.0,0.0,0.0,0.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Xây dựng cơ bản dở dang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,0.0,20000000.0,20000000000.0,19317272727.0,52500000000.0,52500000000.0,52500000000.0,76852400000.0
53,Đầu tư vào các công ty con,0.0,20000000.0,20000000000.0,19317272727.0,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,0.0,0.0,0.0,0.0,52500000000.0,52500000000.0,52500000000.0,66652400000.0
55,Đầu tư dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10200000000.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Tài sản dài hạn khác,0.0,0.0,0.0,0.0,26880939.0,43898613.0,38748504.0,119684935.0
59,Trả trước dài hạn,0.0,0.0,0.0,0.0,26880939.0,43898613.0,38748504.0,119684935.0
60,Thuế thu nhập hoãn lại phải thu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Các tài sản dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
