,CHỈ TIÊU,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,14030909472.0,29249910034.0,119108143013.0,120457557001.0,118063579595.0,119149874628.0,121956555248.0,174056492694.0,304521713791.0
1,TÀI SẢN NGẮN HẠN,1214584712.0,19980413863.0,8761486535.0,11177486822.0,9929247988.0,12502356593.0,17399446033.0,120407315414.0,226569274988.0
2,Tiền và tương đương tiền,397727129.0,2923635896.0,980341560.0,566452833.0,433076898.0,241220991.0,458557633.0,9695010189.0,1100154777.0
3,Tiền,397727129.0,2923635896.0,980341560.0,566452833.0,433076898.0,241220991.0,458557633.0,9695010189.0,1100154777.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,63030000.0,15408594270.0,7103676738.0,10090008179.0,8978367439.0,11737327273.0,16281471793.0,110679489296.0,191746496053.0
10,Phải thu khách hàng,0.0,1358208.0,2574659618.0,3597756059.0,3690319.0,131650153.0,35794673.0,10400926167.0,7608450568.0
11,Trả trước người bán,63030000.0,15276565062.0,2015442120.0,1978677120.0,1975677120.0,1975677120.0,1935677120.0,36808355530.0,27026882402.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8200000000.0,11800000000.0
15,Phải thu khác,0.0,130671000.0,2513575000.0,4513575000.0,6999000000.0,9630000000.0,14310000000.0,55270207599.0,145311163083.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",634607795.0,634607795.0,521025810.0,521025810.0,517521196.0,516630608.0,516630608.0,32815929.0,29933759005.0
19,Hàng tồn kho,634607795.0,634607795.0,521025810.0,521025810.0,517521196.0,516630608.0,516630608.0,32815929.0,29933759005.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,119219788.0,1013575902.0,156442427.0,0.0,282455.0,7177721.0,142785999.0,0.0,3788865153.0
22,Trả trước ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,87836887.0,0.0,2609624823.0
23,Thuế VAT phải thu,55004788.0,1013575902.0,156442427.0,0.0,282455.0,282455.0,54655172.0,0.0,1179240330.0
24,Phải thu thuế khác,0.0,0.0,0.0,0.0,0.0,6895266.0,293940.0,0.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,64215000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,12816324760.0,9269496171.0,110346656478.0,109280070179.0,108134331607.0,106647518035.0,104557109215.0,53649177280.0,77952438803.0
28,Phải thu dài hạn,0.0,0.0,0.0,0.0,78575000.0,78575000.0,74000000.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,78575000.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0,0.0,0.0,78575000.0,74000000.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
