,Unnamed: 0,Q1 2017,Q1 2018,Q2 2018,Q4 2018,Q1 2019,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,-159348545.0,249038428.0,8913332.0,-2500668264.0,4536684219.0,-4982706676.0,-4048889257.0,1392633127.0,-77834856021.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,0.0,0.0,0.0,0.0,0.0,1263133377.0,1068514415.0,1202793750.0,3816663935.0
2,Lãi trước thuế,0.0,0.0,0.0,0.0,0.0,1263133377.0,3296850958.0,2380020126.0,1953478324.0
3,Khấu hao TSCĐ,0.0,0.0,0.0,0.0,0.0,0.0,70295228.0,-70295228.0,140590456.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Lãi/(lỗ) từ thanh lý tài sản cố định,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,-2341163340.0,-1121873317.0,-784318296.0
9,Chi phí lãi vay,0.0,0.0,0.0,0.0,0.0,0.0,42531569.0,14942169.0,2506913451.0
10,Thu lãi và cổ tức,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,0.0,0.0,0.0,0.0,0.0,-4334373078.0,771319890.0,-2719271611.0,-72364218417.0
13,(Tăng)/giảm hàng tồn kho,0.0,0.0,0.0,0.0,0.0,0.0,-2960832136.0,-20474556350.0,-6498370519.0
14,Tăng/(giảm) các khoản phải trả,0.0,0.0,0.0,0.0,0.0,-1921278404.0,-1320659278.0,21773841203.0,-108264731.0
15,( Tăng)/giảm chi phí trả trước,0.0,0.0,0.0,0.0,0.0,9811429.0,-11882807.0,14476794.0,-2680666289.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,-42531569.0,42531569.0,0.0
17,Chi phí lãi vay đã trả,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp đã trả,0.0,0.0,0.0,0.0,0.0,0.0,-1552817772.0,1552817772.0,0.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,0.0,0.0,-20000000.0,0.0,-20000000.0,-2329385889.0,1236415892.0,-1979713840.0,-20632065081.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,0.0,0.0,0.0,0.0,0.0,35147614.0,-35147614.0,105442842.0,-105442842.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0,0.0,-3600000000.0,-17200000000.0,16500000000.0,700000000.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,19600000000.0,-19600000000.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,-20000000.0,0.0,-20000000.0,0.0,0.0,0.0,-24352400000.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,0.0,0.0,0.0,0.0,0.0,1235466497.0,-1128436494.0,1014843318.0,3125777761.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,0.0,0.0,0.0,0.0,0.0,-41499999.0,3263347327.0,-41499999.0,97403365004.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,0.0,0.0,0.0,0.0,0.0,-41499999.0,3446347325.0,-224499997.0,97403365004.0
33,Tiển trả các khoản đi vay,0.0,0.0,0.0,0.0,0.0,0.0,-182999998.0,182999998.0,0.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tiền lãi đã nhận,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,-159348545.0,249038428.0,-11086668.0,-2500668264.0,4516684219.0,-7353592564.0,450873962.0,-628580712.0,-1063556098.0
38,Tiền và tương đương tiền đầu kỳ,980341560.0,566452833.0,815491261.0,2891723950.0,391055686.0,9695010189.0,2341417625.0,2792291587.0,2163710875.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,820993015.0,815491261.0,804404593.0,391055686.0,4907739905.0,2341417625.0,2792291587.0,2163710875.0,1100154777.0
