,Unnamed: 0,Q1 2010,Q1 2022,Q2 2022,Q4 2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,1588150491.0,4422289673.0,35143335502.0,-88579579333.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,0.0,0.0,0.0,0.0
2,Lãi trước thuế,0.0,0.0,0.0,0.0
3,Khấu hao TSCĐ,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,0.0,0.0,0.0,0.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,0.0
7,Lãi/(lỗ) từ thanh lý tài sản cố định,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,0.0,0.0,0.0,0.0
9,Chi phí lãi vay,0.0,0.0,0.0,0.0
10,Thu lãi và cổ tức,0.0,0.0,0.0,0.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,0.0,0.0,0.0,0.0
13,(Tăng)/giảm hàng tồn kho,0.0,0.0,0.0,0.0
14,Tăng/(giảm) các khoản phải trả,0.0,0.0,0.0,0.0
15,( Tăng)/giảm chi phí trả trước,0.0,0.0,0.0,0.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,0.0,0.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp đã trả,0.0,0.0,0.0,0.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,6389457235.0,108333992.0,-42966594.0,-706519667.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-2811666488.0,0.0,-222500000.0,-832155909.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,0.0,0.0,366254545.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,-646765000.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,7561000000.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,2286888723.0,108333992.0,179533406.0,-240618303.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,16862303415.0,-3983833084.0,5037489790.0,12591522780.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,682882200.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,253727723980.0,150291288392.0,186016816102.0,147470462435.0
33,Tiển trả các khoản đi vay,-231797194765.0,-154222121476.0,-163417483114.0,-130741849157.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,-457800702.0,-915601404.0
35,Cổ tức đã trả,-5751108000.0,-53000000.0,-17104042496.0,-3221489094.0
36,Tiền lãi đã nhận,0.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,24839911141.0,546790581.0,40137858698.0,-76694576220.0
38,Tiền và tương đương tiền đầu kỳ,15321158849.0,42589760887.0,43136551468.0,102218305405.0
39,Ảnh hưởng của chênh lệch tỷ giá,99405514.0,0.0,694056497.0,-51176843.0
40,Tiền và tương đương tiền cuối kỳ,40260475504.0,43136551468.0,83968466663.0,25472552342.0
