,CHỈ TIÊU,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,TỔNG TÀI SẢN,601665931660.0,656525245948.0,664296742326.0,692046386011.0,659198044606.0
1,TÀI SẢN NGẮN HẠN,544411223081.0,601674834903.0,608288555944.0,637561868412.0,604866103405.0
2,Tiền và tương đương tiền,40089161387.0,43136551468.0,83968466663.0,102218305405.0,25472552342.0
3,Tiền,17089161387.0,26136551468.0,66968466663.0,90218305405.0,19472552342.0
4,Các khoản tương đương tiền,23000000000.0,17000000000.0,17000000000.0,12000000000.0,6000000000.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,128383843918.0,133817223427.0,160875295723.0,117653072913.0,162628027340.0
10,Phải thu khách hàng,121457161437.0,117664208499.0,164506840126.0,121635020656.0,165365294523.0
11,Trả trước người bán,6876128331.0,8743048096.0,4370118715.0,5853553849.0,1672227515.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,14758183507.0,22090415113.0,7149693067.0,5141314473.0,11416607262.0
16,Dự phòng nợ khó đòi,-14707629357.0,-14680448281.0,-15156524985.0,-14976816065.0,-15826101960.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,5168800.0,0.0,0.0
18,"Hàng tồn kho, ròng",358461103359.0,415169453568.0,343515502179.0,394047478720.0,394596136985.0
19,Hàng tồn kho,361998553139.0,417561144323.0,345914146264.0,396446122805.0,396329498118.0
20,Dự phòng giảm giá HTK,-3537449780.0,-2391690755.0,-2398644085.0,-2398644085.0,-1733361133.0
21,Tài sản lưu động khác,17477114417.0,9551606440.0,19929291379.0,23643011374.0,22169386738.0
22,Trả trước ngắn hạn,1187025013.0,829907140.0,1406995538.0,1677225419.0,622701754.0
23,Thuế VAT phải thu,16163179721.0,7459241959.0,17316930849.0,20196373938.0,19564603661.0
24,Phải thu thuế khác,126909683.0,1262457341.0,1205364992.0,1769412017.0,1982081323.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,57254708579.0,54850411045.0,56008186382.0,54484517599.0,54331941201.0
28,Phải thu dài hạn,1147047750.0,926556703.0,891767500.0,891767500.0,891767500.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,1147047750.0,926556703.0,891767500.0,891767500.0,891767500.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,39079293866.0,37186555948.0,35672538090.0,34170655141.0,34262964659.0
37,GTCL TSCĐ hữu hình,30765806253.0,29192627048.0,27998167399.0,26815843163.0,26487119394.0
38,Nguyên giá TSCĐ hữu hình,149209756634.0,149233170578.0,146724809086.0,147197687313.0,147689407568.0
39,Khấu hao lũy kế TSCĐ hữu hình,-118443950381.0,-120040543530.0,-118726641687.0,-120381844150.0,-121202288174.0
40,GTCL Tài sản thuê tài chính,3182191244.0,2906560625.0,2630930006.0,2355299387.0,2079668768.0
41,Nguyên giá tài sản thuê tài chính,6008312210.0,6008312210.0,6008312210.0,6008312210.0,6008312210.0
42,Khấu hao lũy kế tài sản thuê tài chính,-2826120966.0,-3101751585.0,-3377382204.0,-3653012823.0,-3928643442.0
43,GTCL tài sản cố định vô hình,5131296369.0,5087368275.0,5043440685.0,4999512591.0,5696176497.0
44,Nguyên giá TSCĐ vô hình,9261423802.0,9261423802.0,9261423802.0,9261423802.0,10002015802.0
45,Khấu hao lũy kế TSCĐ vô hình,-4130127433.0,-4174055527.0,-4217983117.0,-4261911211.0,-4305839305.0
46,Bất động sản đầu tư,1194691838.0,918866392.0,604026239.0,537520481.0,532672236.0
47,Nguyên giá tài sản đầu tư,3915170319.0,3340056122.0,2350427309.0,2350427309.0,2381697159.0
48,Khấu hao lũy kế tài sản đầu tư,-2720478481.0,-2421189730.0,-1746401070.0,-1812906828.0,-1849024923.0
49,Tài sản dở dang dài hạn,891566417.0,891566417.0,4617768417.0,4617768417.0,4617768417.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,0.0,0.0,0.0,0.0,0.0
55,Đầu tư dài hạn khác,0.0,0.0,0.0,0.0,0.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0
58,Tài sản dài hạn khác,14942108708.0,14926865585.0,14222086136.0,14266806060.0,14026768389.0
59,Trả trước dài hạn,14942108708.0,14926865585.0,14222086136.0,14266806060.0,14026768389.0
60,Thuế thu nhập hoãn lại phải thu,0.0,0.0,0.0,0.0,0.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0,0.0,0.0
62,Các tài sản dài hạn khác,0.0,0.0,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,357751132217.0,413498752686.0,431502388680.0,466581422355.0,424718617321.0
65,Nợ ngắn hạn,345037965326.0,401048150955.0,420452282183.0,455818315858.0,415405154536.0
66,Phải trả người bán,137208472763.0,202185822007.0,197194172124.0,249958853067.0,196994473341.0
67,Người mua trả tiền trước,1651831694.0,762383238.0,462966791.0,5727930133.0,1291706148.0
68,Thuế và các khoản phải trả Nhà nước,6043820998.0,5609020304.0,2891687824.0,2894209144.0,4679424863.0
69,Phải trả người lao động,10716374238.0,4940395172.0,12628257862.0,12671150420.0,10386290392.0
70,Chi phí phải trả,126795955.0,0.0,319296236.0,35201293.0,527384191.0
71,Phải trả nội bộ,0.0,0.0,0.0,0.0,0.0
72,Phải trả về xây dựng cơ bản,0.0,0.0,0.0,0.0,0.0
73,Doanh thu chưa thực hiện ngắn hạn,0.0,0.0,0.0,8901233497.0,0.0
74,Phải trả khác,12238501464.0,14518486144.0,8634464148.0,175376675480.0,8881259588.0
75,Vay ngắn hạn,177003477174.0,173032044090.0,196666114528.0,0.0,192565623058.0
76,Dự phòng các khoản phải trả ngắn hạn,0.0,0.0,0.0,253062824.0,0.0
77,"Quỹ khen thưởng, phúc lợi",48691040.0,0.0,1655322670.0,0.0,78992955.0
78,Quỹ bình ổn giá,0.0,0.0,0.0,0.0,0.0
79,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0
80,Nợ dài hạn,12713166891.0,12450601731.0,11050106497.0,10763106497.0,9313462785.0
81,Phải trả nhà cung cấp dài hạn,0.0,0.0,0.0,0.0,0.0
82,Người mua trả tiền trước dài hạn,0.0,0.0,0.0,0.0,0.0
83,Chi phí phải trả dài hạn,0.0,0.0,0.0,0.0,0.0
84,Phải trả nội bộ về vốn kinh doanh,0.0,0.0,0.0,0.0,0.0
85,Phải trả nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0
86,Doanh thu chưa thực hiên,0.0,0.0,0.0,0.0,0.0
87,Phải trả dài hạn khác,2478554000.0,2491354000.0,2451354000.0,2164354000.0,2078354000.0
88,Vay dài hạn,7135985212.0,7186735212.0,5694197060.0,5694197060.0,4318271356.0
89,Trái phiếu chuyển đổi,0.0,0.0,0.0,0.0,0.0
