,CHỈ TIÊU,Q2 2011,Q3 2011,Q4 2011,Q4 2011.1,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q4 2012.1,Q1 2013
0,Doanh số,14153493429.0,4612981663.0,3576719961.0,3576719961.0,588206612.0,4118731305.0,627340027.0,1506406382.0,1506406382.0,893660748.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,14153493429.0,4612981663.0,3576719961.0,3576719961.0,588206612.0,4118731305.0,627340027.0,1506406382.0,1506406382.0,893660748.0
3,Giá vốn hàng bán,-13113448951.0,-4540791531.0,-2673874159.0,-2673874159.0,-201351650.0,-3589034531.0,-839809266.0,-460095052.0,-460095052.0,-344545934.0
4,Lãi gộp,1040044478.0,72190132.0,902845802.0,902845802.0,386854962.0,529696774.0,-212469239.0,1046311330.0,1046311330.0,549114814.0
5,Thu nhập tài chính,69737180.0,1566476.0,5679807.0,5679807.0,4448102.0,68308228.0,36928305.0,52934386.0,52934386.0,45855661.0
6,Chi phí tài chính,-4090413229.0,-781954458.0,-764891967.0,-764891967.0,-669153682.0,-4097009358.0,-2149556615.0,-2147458067.0,-2147458067.0,-2097808775.0
7,Trong đó: Chi phí lãi vay,-988179229.0,-781954458.0,-764891967.0,-764891967.0,-669153682.0,-4384120540.0,-2149556615.0,-2147458067.0,-2147458067.0,-2097808775.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Chi phí quản lý doanh  nghiệp,-893918694.0,-523574233.0,-865289608.0,-865289608.0,-610898355.0,-6886945481.0,-308002610.0,-529856706.0,-529856706.0,-348435742.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,-3874550265.0,-1231772083.0,-721655966.0,-721655966.0,-888748973.0,-10385949837.0,-2633100159.0,-1578069057.0,-1578069057.0,-1851274042.0
12,Thu nhập khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500000.0,1500000.0,0.0
13,Chi phí khác,-2819387.0,-10904314.0,-1625683.0,-1625683.0,-80827691.0,-1120235.0,-2182545.0,0.0,0.0,0.0
14,"Thu nhập khác, ròng",-2819387.0,-10904314.0,-1625683.0,-1625683.0,-80827691.0,-1120235.0,-2182545.0,1500000.0,1500000.0,0.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,-3877369652.0,-1242676397.0,-723281649.0,-723281649.0,-969576664.0,-10387070072.0,-2635282704.0,-1576569057.0,-1576569057.0,-1851274042.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Lãi/(lỗ) thuần sau thuế,-3877369652.0,-1242676397.0,-723281649.0,-723281649.0,-969576664.0,-10387070072.0,-2635282704.0,-1576569057.0,-1576569057.0,-1851274042.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,-3877369652.0,-1242676397.0,-723281649.0,-723281649.0,-969576664.0,-10387070072.0,-2635282704.0,-1576569057.0,-1576569057.0,-1851274042.0
23,Lãi cơ bản trên cổ phiếu,-430.46,0.0,0.0,0.0,0.0,-1153.16,0.0,0.0,0.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
