,CHỈ TIÊU,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,58371189670.0,65044091689.0,327579123887.0,1866866113586.0,2259327728002.0,2909639631423.0,3279821617910.0,4627724100837.0,4596541235372.0
1,TÀI SẢN NGẮN HẠN,30303235709.0,55344091689.0,42692196242.0,552472723029.0,788532954484.0,836482056405.0,1372652372140.0,2430664848768.0,2462614533237.0
2,Tiền và tương đương tiền,3429028022.0,30694690503.0,2225444575.0,270700519343.0,479116207042.0,530223506719.0,203396080603.0,696974721111.0,736791562061.0
3,Tiền,3429028022.0,30694690503.0,2225444575.0,270700519343.0,401116207042.0,530223506719.0,101396080603.0,536974721111.0,696791562061.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,78000000000.0,0.0,102000000000.0,160000000000.0,40000000000.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,21403700000.0,0.0,0.0,0.0,0.0,0.0,300000000000.0,100000000000.0
6,Đầu tư ngắn hạn,0.0,21403700000.0,0.0,0.0,0.0,0.0,0.0,100000000000.0,100000000000.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000000000.0,0.0
9,Các khoản phải thu,12304750060.0,3240122324.0,40466751667.0,264319592809.0,290813224579.0,246198827628.0,1080747817615.0,1373582454085.0,1589850711176.0
10,Phải thu khách hàng,6563400857.0,0.0,40000000000.0,12710477316.0,88443045177.0,18883788243.0,29775232146.0,67841877244.0,45053814129.0
11,Trả trước người bán,2523558614.0,2856922324.0,0.0,130170888538.0,132856313854.0,79325578138.0,107266361719.0,126901116909.0,162893972228.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7480528723.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,316000000.0,0.0,100000000.0,3100000000.0,0.0,69890000000.0,305039669710.0,99713769710.0
15,Phải thu khác,3217790589.0,67200000.0,466751667.0,121338226955.0,66413865548.0,149989461247.0,873916323750.0,877821890164.0,1274974736328.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0,0.0,0.0,-2000000000.0,-100100000.0,-4022099942.0,-266109942.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",12070798106.0,0.0,0.0,4896850971.0,4401482924.0,20723581408.0,52639061226.0,41334337479.0,18630763453.0
19,Hàng tồn kho,12070798106.0,0.0,0.0,4896850971.0,4401482924.0,20723581408.0,52639061226.0,41334337479.0,18630763453.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,2498659521.0,5578862.0,0.0,12555759906.0,14202039939.0,39336140650.0,35869412696.0,18773336093.0,17341496547.0
22,Trả trước ngắn hạn,1572159.0,0.0,0.0,12491136843.0,13483008628.0,38862781126.0,35752658095.0,18580488511.0,15322731082.0
23,Thuế VAT phải thu,2447564840.0,5578862.0,0.0,64623063.0,718031311.0,449027859.0,115754601.0,123947953.0,1517343403.0
24,Phải thu thuế khác,49522522.0,0.0,0.0,0.0,1000000.0,24331665.0,1000000.0,68899629.0,501422062.0
