,Unnamed: 0,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,-51553079089.0,-385946788262.0,-1377948441682.0,-1688121827495.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,6094926996.0,113313736011.0,187932225921.0,40395715338.0
2,Lãi trước thuế,6734395772.0,112740214938.0,203640121711.0,80699787476.0
3,Khấu hao TSCĐ,146157850.0,728560656.0,1084122303.0,2456988507.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,0.0,123479231.0,-60780867.0,0.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-785626626.0,-278518814.0,-168781803114.0,-268188765737.0
9,Chi phí lãi vay,0.0,0.0,152050565888.0,225427705092.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,-214527580534.0,-820041132442.0,-2859641291888.0,-2001880677666.0
13,(Tăng)/giảm hàng tồn kho,-125538672432.0,-118074331234.0,191274620234.0,-84004807755.0
14,Tăng/(giảm) các khoản phải trả,295150481172.0,438793195545.0,1312845686886.0,591043858627.0
15,( Tăng)/giảm chi phí trả trước,-12732234291.0,1418665538.0,-26352428248.0,9707697334.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,0.0,0.0,-156376234936.0,-204750928287.0
18,Thuế thu nhập doanh nghiệp đã trả,0.0,-1356921680.0,-27631019651.0,-38632685086.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-3518197512.0,-11581361433.0,-403826437827.0,-486271040873.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-4270393401.0,-1943310984.0,-3399963636.0,-1892112635.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,0.0,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,-9950000000.0,-486000000000.0,-643568000000.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,9950000000.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,-86203263606.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,752195889.0,311949551.0,161826789415.0,159189071762.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,100000000000.0,401000000000.0,1960655554190.0,1976584191529.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,100000000000.0,400000000000.0,349850400000.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,0.0,1000000000.0,1960805154190.0,2061033543086.0
33,Tiển trả các khoản đi vay,0.0,0.0,-350000000000.0,-84449351557.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,0.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,44928723399.0,3471850305.0,178880674681.0,-197808676839.0
38,Tiền và tương đương tiền đầu kỳ,0.0,44928723399.0,48400573704.0,227281248385.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,44928723399.0,48400573704.0,227281248385.0,29472571546.0
